ORF	WT1A	WT1B	WT2A	WT2B	HS1A	HS1B
NCU02133	1339.7	1453.6	1799.4	1574.1	1441.7	976.4
NCU02134	221.3	232.3	172.6	170.8	208.4	122.3
NCU02136	2428.3	2385	1746	1564.6	2470.7	1792.5
NCU02137	6.6	6.4	7.6	6.1	4.3	6.6
NCU02138	123.3	133.6	45	46.3	52.7	118.9
NCU02139	26.1	32	44.8	41.4	55	34.6
NCU02142	14.2	13	12.1	10	19.7	35.3
NCU02143	2.5	0	1.1	0	0	0
NCU02144	0	0	0	0	0.7	0
NCU02145	0.8	0.6	0	0	0	0
NCU02146	0.5	0.8	0	0.4	0.3	0.2
NCU02147	13	17.9	13.4	14.5	42.1	31.1
NCU02148	34.2	29.4	28.4	34.2	40.6	39
NCU02149	39.8	45.5	61.2	59.6	73.9	62
NCU02150	2.9	2.6	1.1	1.3	1.8	0.9
NCU02151	21.9	20.4	11.6	17.6	17.9	10.4
NCU02152	48.9	52.5	65.6	61.2	59.9	68.5
NCU02153	17.6	15.7	17.8	20.6	15.2	16.9
NCU02155	2.8	2.3	1.7	1.5	2.9	1.8
NCU02156	41.9	36.6	84.3	90.8	96.5	69.7
NCU02157	23.6	25.2	32.4	33.5	27.5	28.8
NCU02158	3.8	3	2.5	1.9	3.3	2.6
NCU02159	20	16.6	12.5	9.5	10.2	14.7
NCU02160	263.3	264.5	364.9	342.2	409.1	326.6
NCU02161	4.6	4.4	6.1	5.4	5.6	4.1
NCU02162	31.3	32.3	36.8	39.4	41.6	36.1
NCU02163	0.5	1.3	1.9	1.3	2.5	0.5
NCU02164	68.6	70	161.6	202.5	92.1	209.1
NCU02165	0.8	0.4	3	2	2.8	1.1
NCU02167	32.3	32.1	45.1	53.6	35.1	25.1
NCU02168	6.6	6.1	5.2	5.7	2.1	9
NCU02169	9.3	14.2	15.8	12.9	12.4	19
NCU02170	0.3	0.3	1.4	1.7	0.6	3.4
NCU02171	0	0.5	0	0	0	0
NCU02172	4.9	6.5	5.5	4.5	7.3	8.9
NCU02173	3.2	4.9	4.2	4.1	2.7	3.3
NCU02174	6.1	6.6	3.3	4.6	4.8	4.3
NCU02175	57.4	58.8	10.7	8.4	13.7	11.4
NCU02176	9.5	9.1	16.2	14	14.4	16
NCU02177	22.3	23	18.4	23.6	17.5	13.3
NCU02178	0.1	0.1	0.1	0.2	0	0.1
NCU02179	4.1	4.3	0.4	0.9	1.3	0.9
NCU02181	3215.7	3121	3377.4	2754.9	3680.4	3151.8
NCU02182	13.4	12.9	11.9	11.9	16.5	12.1
NCU02183	0	1.5	0.9	0	0	0
NCU02184	11.6	12.8	14.7	14.1	12.8	6.8
NCU02187	232.5	244.2	167.4	247.1	169.7	242.2
NCU02188	0.4	0.5	0.7	0.3	0.4	0.6
NCU02189	0	0.3	0	0	0.5	0
NCU02190	1.2	1.3	4.1	7.4	3.2	1.8
NCU02191	136.8	131.2	58.3	67.5	44.2	77.3
NCU02192	0.9	0.2	0.5	0	0.6	0
NCU02193	5045.6	5108.6	8775.3	10355.4	4737.8	9383.6
NCU02194	2.3	1.5	2.3	5.9	1.4	3.6
NCU02195	0.2	0.3	0.4	0	0.3	0
NCU02196	0.4	0.5	0.2	1.2	0.4	0.7
NCU02197	1.2	0.9	0.5	0	0	0
NCU02198	0.4	0.2	0	0	0	0
NCU02199	1.1	0.5	0.2	0.5	0.3	0
NCU02200	52.2	45.1	73.1	79.7	93.9	80.8
NCU02201	0.3	0.5	0.1	0	0	0.2
NCU02202	21.8	20.4	22.2	15.3	18.3	20.6
NCU02203	36.3	35.3	33	33.2	40.7	37.7
NCU02204	36.1	41.2	41.2	36	38.3	30.1
NCU02205	0	0	0	0	0	0
NCU02206	0	0.5	0	0	0	0.7
NCU02207	193	187.4	178.3	165.6	197.5	172.5
NCU02208	277.8	259.8	327.9	307.7	408.8	403.7
NCU02209	850.3	905	980.2	890	492.8	648.8
NCU02211	33.4	32.5	27.2	38.3	41.3	26.8
NCU02212	0.4	0.6	1	0.3	0.4	0.4
NCU02213	0.8	0.4	2.4	2.3	1.5	2.2
NCU02214	1.8	1.4	0.7	0.7	1.3	0.9
NCU02215	0.4	0.3	0.1	0.1	0.1	0.1
NCU02216	7.7	7.5	7	7	7.7	7.8
NCU02217	38	31.1	38	25.9	29.3	24.4
NCU02218	20	20.1	18.3	13.2	21.3	15.2
NCU02219	91.5	84.1	111.8	97.7	81.8	107.8
NCU02220	3.6	3.4	3.9	5.8	6.2	3.4
NCU02221	6.2	5.3	11.6	8.2	8.2	7
NCU02222	2.1	2.4	0.8	2.6	2.3	1.3
