ORF	WT1A	WT1B	WT2A	WT2B	HS1A	HS1B
NCU05200	33.1	31.3	35.6	36.8	42.1	34.6
NCU05201	0.2	0.1	0.1	0	0.1	0.3
NCU05202	7.3	13.5	8.1	8.1	7.7	6.7
NCU05203	4.2	4.8	4.9	8.9	5.1	9.2
NCU05204	73.6	70.4	65.1	66.4	60	63.3
NCU05206	25	25.6	20.7	25.2	31.5	27.6
NCU05207	0.2	0	0	0	0	0.2
NCU05208	2.2	1.6	5.6	2.2	2.7	3
NCU05209	0.5	1.2	0	0.7	0.3	1.4
NCU05210	6.7	6.5	8.6	4.4	7.1	6.9
NCU05211	5.7	5.3	6.6	7.3	8.6	7.9
NCU05212	0.2	0.2	0.4	0.1	0.1	0.1
NCU05213	8.9	8.7	11.6	8.5	11.2	8.9
NCU05214	17	13.3	17.8	17.9	10.4	13
NCU05216	0.4	0	0	0	0	0
NCU05217	3.7	3.5	6.5	6.3	7.5	6.7
NCU05218	15.9	13	13.7	21.7	18.8	17.6
NCU05219	21.9	24.5	30.2	27.3	37.7	25.3
NCU05220	894.9	803.1	665.2	632.3	571.5	749
NCU05221	225.4	222	210.7	165.6	180.2	112
NCU05222	68.5	56.4	57.5	43.6	81.1	34.5
NCU05224	20.5	16.9	33.5	28.8	32.4	24.7
NCU05225	36.3	37.2	12.9	10.9	6	10.8
NCU05226	44	44.6	26.9	23.1	15.3	11.6
NCU05227	138.8	154.6	209.2	199.8	130.4	141.1
NCU05228	67.5	55.7	52.5	51.9	56.6	61.9
NCU05229	0	0.1	0.6	0.3	0.3	0
NCU05230	15.8	24.1	6.1	7.9	5.6	3.1
NCU05231	43.9	50.3	58.3	47.4	113.7	64.8
NCU05232	30.5	27.7	33.7	36.2	40.4	42.3
NCU05233	24.6	26	25.3	24.9	37.4	25.9
NCU05234	123.3	148.1	160.1	150.3	136.7	140.4
NCU05235	28.9	31.8	49.3	29.5	42.9	54.8
NCU05236	1.5	0	2.7	2.6	3.7	1.6
NCU05237	35.2	42.2	63.3	67.2	42.3	70
NCU05238	167.8	167.6	186.6	160.7	170	138.4
NCU05239	10.7	9.8	14.1	12.5	14	11.8
NCU05240	34.3	38.1	59.5	60	67.9	45.3
NCU05242	27.5	28.8	21.6	18	22.9	11.4
NCU05243	7.3	6.7	11.6	14.5	7.4	7.4
NCU05244	7.8	9.2	7.6	10.1	8.2	7.3
NCU05245	11.7	14.3	18.5	23.4	16	19.5
NCU05246	8.1	9	4.7	7.6	13.7	6.7
NCU05248	26.5	39.6	54.6	45.4	38.4	44.5
NCU05250	5.2	5.9	6	5.1	7.6	5.9
NCU05251	25.6	30.1	30.9	28.3	25.7	22.6
NCU05252	46.1	45.7	83.6	69.3	82.6	73.7
NCU05253	4.7	4.2	4.8	5.6	7.3	6.4
NCU05254	32.5	34.6	39	25.1	43.8	31.9
NCU05255	7.6	9.7	9.8	14	13.9	17.3
NCU05256	1.2	1.2	2.5	2.3	2.4	3.5
NCU05257	41.7	39.9	21.9	24.1	122.1	188.8
NCU05259	1848.8	1787.9	2338.6	2903	1351.4	1586.8
NCU05260	28.9	33.3	58.9	67	77.7	54.6
NCU05261	47.1	46	43	39.7	46.9	46.5
NCU05262	19.1	24	23.3	21.4	22.4	20.3
NCU05263	13.5	12.8	25.6	22.7	18.2	15
NCU05264	79.5	71.2	57.2	86.3	239.5	332.9
NCU05265	4.6	5.5	5.4	6.3	7.1	8.4
NCU05266	58.8	56.1	76.4	65.4	92.5	87.2
NCU05267	11.9	10.6	16.8	16.2	28.5	14.5
NCU05268	0.9	1	0.4	0.7	0.1	0.3
NCU05269	375.7	366.6	308.7	249	289.8	270.6
NCU05270	143.9	145.1	123.4	112.1	173.8	104.4
NCU05271	7.4	7.5	6.6	6.6	9.9	5.1
NCU05272	7.4	7.2	8.1	8	11	11.7
NCU05273	15.1	11.9	15.3	16.1	20	17.6
NCU05274	3338.4	3518.8	3590.8	3211	3936.7	3063.2
NCU05275	639.2	652.2	787.8	633.3	1006.9	578.1
NCU05276	45.4	40.3	59.9	59	47.5	47.2
NCU05277	18.6	22.9	18	13.9	157.4	234.3
NCU05278	258.3	272.1	474.1	530.1	376.1	832.2
NCU05279	81.4	80.3	49.9	57	60.4	36.1
NCU05280	7.1	7.6	6.9	5.1	6.1	6.7
NCU05281	9.1	12.7	9.9	8.4	6.7	7
NCU05282	5.9	6.6	7.2	5.8	9.1	4.8
NCU05284	0	0	0	0	0	0
NCU05285	122.5	113	140.7	145.7	115.9	141.4
NCU05286	39.6	44.1	37.8	29.5	33.3	18.7
NCU05287	59.3	60	65.1	49.1	58.2	71.9
NCU05288	588.4	614.6	778.7	711.7	697.8	554.1
NCU05289	55.7	56.3	53.5	56.4	61.5	87.2
NCU05290	210.3	210.7	268.1	216.1	170.9	175.2
NCU05291	77.3	82.8	42.3	76.3	52.3	61.4
NCU05292	65.8	69.5	64	59.7	66.2	70.3
NCU05293	19.4	19.1	17.4	19.8	24.1	22.2
NCU05294	7.6	6.5	6.1	7.7	5.5	11.7
NCU05295	261.4	278.5	348.6	327	328.4	272
NCU05296	10.3	10.3	8.9	9.8	12.8	11.8
NCU05298	33.7	34.2	159.6	180.2	535.9	226.6
NCU05299	291.6	307.3	326.3	313.4	328.9	238.5
NCU05300	1.7	1.3	1.1	1	1.1	1.3
NCU05301	62.3	58.8	52.8	40.3	59.6	41.7
NCU05302	9.6	10	8.8	9.1	9	10.2
NCU05303	12.1	13	4.4	3.1	1.6	4.3
NCU05304	247.1	243.3	305.3	270	247	311.5
NCU05305	62.6	73.3	94.3	92.5	83.8	90.6
NCU05306	14.3	12.7	8.5	9.1	8.2	4.7
NCU05307	3.7	4.5	3.6	5.2	4.5	2.7
NCU05308	11.4	10.8	10.4	8.5	16.3	12.8
NCU05309	69.9	76.6	33.1	35.3	29.6	16.9
NCU05311	46.7	49.7	37.6	49.9	24.7	20.5
NCU05312	18.7	14	19.4	14.2	18.8	15.1
NCU05313	102.9	92.4	81	83.4	69.3	72.2
NCU05314	24.1	17	24.9	32	30.2	28.4
NCU05315	24.3	24.1	30.1	49.9	27.3	46.8
NCU05316	1.2	1.4	1.5	1.4	0.8	0.6
NCU05317	1	0.3	0.6	0.3	0.6	1.3
NCU05318	13.5	13.3	3.4	5.3	4.3	10
NCU05319	1.9	1.7	7	6.5	13.3	2.5
NCU05320	0.4	0.2	0	0	0.4	0
NCU05321	0.7	0.1	0.1	0.1	0.1	0
NCU05338	2303	2399.4	4795.6	4765.5	4503.6	3326.6
NCU05340	7.8	6	10	10.2	5.4	8
NCU05341	8.4	6.3	1.7	6.5	9.8	5
NCU05342	58.9	54.4	70.3	79.9	72.1	70.7
NCU05343	60.3	58.6	71.5	68.4	77.6	79.7
NCU05345	33.2	41.2	30.9	39.1	33.4	22.8
NCU05346	0.4	0.3	0.2	0.3	0.2	0.2
NCU05347	157.6	148.4	259.4	207.1	176.2	213.7
NCU05349	0.2	0.2	0.1	0.1	0.2	0
NCU05350	0	0.4	0.2	0.2	0.2	0
NCU05351	7.1	5	3.7	2.6	3	2.2
NCU05354	3.6	0.9	3.2	7.2	1.2	0
NCU05356	0.9	1.1	0.8	0.6	0.5	0
NCU05358	0.5	1	0.2	0.2	0	0.6
NCU05360	39.7	39.2	39.2	45.7	35.8	46.4
NCU05363	146.4	144.5	165.2	162.8	129.2	148.9
NCU05364	59.4	59.6	73.7	73.5	117.8	59.8
NCU05368	16.7	30.2	0	0	0	0
NCU05370	0	0.5	0	1.1	0.6	0
NCU05373	24.6	24	31.5	26.2	26.2	32.7
NCU05375	39.8	37.4	44.8	36.4	54.9	39.2
NCU05376	0.2	0.2	1	0.2	0.9	0.8
NCU05377	5.6	7.8	7.9	9.4	6.6	11.2
NCU05378	0.2	0.1	0	0.5	0.6	0.2
NCU05379	0.5	0	0	0.4	0	0
NCU05381	0	0.6	0.2	0.3	0	0.2
NCU05382	0	0	0	0	0	0.8
NCU05383	2.4	3.4	4.5	3.1	5.6	2.6
NCU05384	1.4	1.9	1.9	2	1.2	0.4
NCU05385	0.6	0.9	0.5	0.3	1.5	0.4
NCU05386	17.4	15.5	17.4	23.8	21.2	19.1
NCU05387	103	100.1	74.8	89.3	388.9	179.5
NCU05388	0	0.4	0	0	0	0
NCU05389	4.6	4.6	3.7	2.5	4.9	2.7
NCU05390	1061	1055.1	883.2	754.9	469.2	1012.8
NCU05391	41.4	42.9	41.8	30.6	11	39.9
NCU05392	4	4.5	7.8	7.3	7.1	7.2
NCU05393	2.3	2.9	2.7	2.5	2.5	2.5
NCU05394	0.7	0.7	0.8	0.8	0.9	0.7
NCU05395	1003.4	974.5	1281.4	1634.3	1564.5	2085.6
NCU05400	85.9	80.5	76.4	62.4	81.7	64.2
NCU05401	0	0.4	0.5	0.9	1.6	0.6
NCU05404	206.4	222.4	684.2	900.2	800.3	628.9
NCU05410	161.3	143.3	102	88	264.6	149
NCU05411	2.6	2.2	2.3	2	3.6	1.5
NCU05414	0.6	0.4	0.3	0.4	1.4	0.8
NCU05417	2.3	2.4	1.1	0.9	1.1	0.5
NCU05418	29.6	35.5	37.7	32.5	47.4	52.1
NCU05419	19.2	19.7	15.2	18.5	12.5	18.1
NCU05420	213.3	221.3	194.3	188.8	393.6	305.1
NCU05421	12.3	15.1	9.9	9.1	7.1	6.8
NCU05422	17.5	18.5	15	13.3	15.1	12
NCU05423	8.6	10.2	9.6	11.7	11.9	12.3
NCU05425	244.8	228.5	233.1	224	237.6	243.2
NCU05426	20	20.6	17.7	16.5	22.1	17.3
NCU05427	17.3	15.5	14.1	12.7	13.6	7
NCU05429	420.5	392.8	209.2	204.3	164.5	94.1
NCU05430	2141.1	2183	2318.2	2178.4	1724	2787.8
NCU05433	4.4	4.7	5.6	5.8	5.8	4.4
NCU05435	21	24.7	33.7	46.5	50.3	69.7
NCU05437	0.5	0.2	0	0	0	0
NCU05448	0.3	0.6	0.3	0	0.6	0.7
NCU05452	30.4	27.1	28.5	32.5	28.5	30.3
NCU05453	12.9	16.9	22.2	19	19.1	17.6
NCU05454	243.1	231.3	170.5	188.9	232.3	149.6
NCU05457	622.6	595.5	711.4	644	500.5	647
NCU05458	1.6	1.4	2	2.1	2.8	2.3
NCU05459	12.2	12	14	14.9	17.2	12.8
NCU05460	1.5	1.4	1.4	1	2.1	1.5
NCU05462	0	0	0.6	0	0	0
NCU05463	0	0	0	0	0.4	0
NCU05466	0.6	0.2	0.3	0.1	0	0.2
NCU05467	0.7	0.5	0.6	0	0	0
NCU05469	1.4	0.5	0.3	0	0	0.4
NCU05470	0.3	0.2	0.3	0	0.3	1.4
NCU05472	0	0.1	0.3	0	0	0
NCU05477	6.7	5.5	3.6	4.6	5.2	3.5
NCU05479	0.3	0.3	0	0	0	0
NCU05480	0	0.3	0	0.3	0	0
NCU05481	0	0.3	0	0.6	0	0
NCU05483	0.2	0	0	0	0.2	0.2
NCU05485	76.5	83.6	103.4	99	113.2	113.2
NCU05488	1200.3	1178.2	681.1	663	601.8	477.1
NCU05490	512.2	490	75.3	80.7	112.1	23.9
NCU05491	26.3	34.2	39.1	43.1	30.7	42.3
NCU05492	0.5	1.4	2	1.8	0.8	2.9
NCU05493	0.4	0.7	3.3	3.4	4.9	3.7
NCU05494	0	0.1	0	0.6	0.6	0
NCU05495	7567.4	7514.7	10594.1	11068	5313.1	4177.3
NCU05498	4419.1	4473.4	5456.8	8518.7	5513.2	7149.3
NCU05499	0.2	0.9	2	1.8	1	16.2
NCU05500	3.1	2.9	6.2	7.4	5.4	5.9
NCU05501	2	2.3	4.2	2.1	3.8	3.4
NCU05502	1.6	1.3	0.4	0.6	1.4	0.4
NCU05503	0.5	0	0	0	0	0
NCU05504	0.4	0.6	0	0	1.2	0.4
NCU05505	0	0.3	0	0	0	0
NCU05506	0	0	0.7	0	0	0
NCU05507	1.1	2.5	1	1.5	1.1	0.6
NCU05508	37.6	35.1	37.9	30.3	71	64.5
NCU05510	0.2	0.3	0	0	0.2	0
NCU05511	1.9	4.4	3.8	1.6	3	2.4
NCU05512	807.6	834.2	926.7	949.2	1856.8	425.5
NCU05513	65.3	64.8	70.7	60.7	73.3	78.2
NCU05514	35.6	34.8	44.5	55.8	44.5	56.1
NCU05515	35.1	40.1	53.2	43.8	42.8	43.8
NCU05516	32.7	31	23.8	28	72.6	25.6
NCU05517	55	49.7	42.6	39.3	68.4	40
NCU05518	5.5	5.4	15.4	18.6	57.3	6.1
NCU05519	0.2	0.1	0.2	0.5	0.9	0.4
NCU05520	0	0.2	0	0	0	0
NCU05521	78.4	95	94.4	83.2	55.9	63.1
NCU05522	79.3	74.1	48.3	51.1	122.8	64.5
NCU05523	9.2	11.7	11.7	9.5	9.9	10.3
NCU05524	0.1	0.1	0.1	0.1	0	0.1
NCU05525	58.7	56.5	37.2	42.8	110.1	36.9
NCU05526	1050.4	1024.5	1060.6	912	3800.9	1347.8
NCU05527	22.2	24.5	12	21.9	17.7	22.1
NCU05528	2.1	1.2	0	0	0	0
NCU05529	1	0	0	0	0	0
NCU05530	0.3	0.1	0	0	0.3	0
NCU05531	0.6	0	0	0	0.3	0
NCU05532	0.7	0	0	0	0	0
NCU05534	0.9	1	1.2	1.1	0.8	0
NCU05535	4.9	5.2	10.2	9.5	6.5	4.8
NCU05536	4.2	4.2	4.2	4.2	4.5	3.8
NCU05537	1.8	2.8	1.6	1.7	3.9	4
NCU05538	0.3	0.1	0.3	0	0	0
NCU05539	4.7	4.2	3.5	6.7	3.4	2.3
NCU05540	4.4	5.6	7.1	6	11.8	10
NCU05541	4.5	4.1	3.2	5	3.4	2.9
NCU05542	53.1	65.7	81.5	71.8	114.8	70.7
NCU05543	6	6	6.8	8.8	8.5	7
NCU05544	89	110.2	115	134.1	70.9	101.1
NCU05545	3.7	4.3	4.4	4.8	4.2	6
NCU05546	0.1	0.2	0.1	0	0.3	0
NCU05547	12.6	17.1	15.4	19.8	9	8.6
NCU05548	240.4	229.8	226.2	202.5	473.8	269.6
NCU05550	6.2	9.9	10.9	14.7	8.8	7.3
NCU05551	46.3	43.5	39	35.4	32	37.1
NCU05552	49.4	46.5	46	38.2	45.7	61.3
NCU05553	15	14	9.9	10.2	11.8	8.9
NCU05554	2153.6	2037.5	2086.2	1880.3	2115.4	2007
NCU05555	1.1	0.8	2.8	3.5	3.6	4.1
NCU05556	0	0	0	0.7	0	0
NCU05557	0.3	0	0	0.1	0.1	0.2
NCU05558	13.3	13	20	19.1	14.1	8.6
NCU05559	19.1	20.5	21.3	16.2	30.6	20.4
NCU05560	13.6	12.3	5.2	3.1	4.7	3.6
NCU05561	3617.3	3593.5	1386.8	1763.8	2693.6	1665.7
NCU05563	0	0.1	0	0	0.3	0.2
NCU05564	7.8	9.1	5.2	5.5	4.3	4.1
NCU05565	5.3	4.8	4	3.5	7.9	5.7
NCU05566	0.4	0.4	0.3	0.7	0.4	0
NCU05567	1.5	2	2.2	1.7	2.4	0
NCU05568	0	0.3	0	0	0	0
NCU05569	9	8.7	13.8	15.3	25.4	30.9
NCU05570	0.8	0.3	0.7	0	0	0
NCU05571	0.3	0.1	0.3	0.8	0.6	1
NCU05572	0.3	0.2	0	0	0	0
NCU05574	1.7	1.5	3.7	2.1	2	4.7
NCU05575	21	20.9	24.7	17.1	29.4	22
NCU05576	0	0.3	0	0	0	0
NCU05577	15	14	8.9	9.9	8.9	9.3
NCU05578	17.4	18.2	22.3	25.2	26.9	27.5
NCU05579	13.6	11.3	16	12.7	19.9	18.3
NCU05580	0.4	0.2	0.2	0	0.5	0
NCU05581	1	0.4	3.1	1	4.5	3.6
NCU05582	23.4	24	15.5	13	15.6	16.2
NCU05583	0.7	0.5	0	0	0	0
NCU05584	0	0.1	0	0	0.3	0
NCU05585	0	0.2	1.7	0.9	2	1.4
NCU05586	4.6	4.2	3.4	3.6	12.6	3
NCU05587	8.5	7.9	6.9	5.9	8.7	4.5
NCU05588	14	14.1	18.3	17.1	22.5	35.5
NCU05589	29.8	31.4	38.7	36.5	37.5	35.2
NCU05591	51.1	56.3	15.8	16.2	21.5	28.8
NCU05592	40.1	38.6	35.9	33.7	34.7	30.6
NCU05593	22.4	20.4	25.1	25.6	15.2	28.5
NCU05594	43.5	37.7	40.9	52.7	52.1	40
NCU05595	0	0.5	0.4	0.4	0	0
NCU05596	0.2	0.6	0	0	0.5	0
NCU05597	0.4	0.4	2.8	2.9	2.5	1.2
NCU05598	159.7	168.2	5.6	4.4	0.9	2.1
NCU05599	1649.2	1652.8	1999.6	1749.5	1135.5	1568.8
NCU05600	6.1	5.8	4.9	6.4	6.6	5.3
NCU05601	43.3	41.3	32.5	31.3	33.5	54.3
NCU05602	12	10.8	12	14.8	16.7	9.4
NCU05603	0.1	0.3	0.1	0.2	0.2	0
NCU05604	0	0	0	0	0	0
NCU05605	10.4	11.7	24.9	20.5	24.8	22.9
NCU05606	63.3	59.6	64.9	73.9	37.7	46.9
NCU05607	15.3	13.5	13.3	12.4	14.6	11.4
NCU05608	25.9	27.1	34.9	33.4	33.6	30.7
NCU05609	1.9	1	3.8	3.2	3.9	2.5
NCU05611	0.3	0.1	0	0	0	0
NCU05612	0	0.1	0	0	0	0
NCU05613	0.3	0.4	0.3	0	0.3	0.4
NCU05614	0.2	0.2	0	0	0	0.3
NCU05615	0.2	0.1	0	0	0	0.2
NCU05616	2.2	3	2.5	1.9	3.8	1.5
NCU05617	3.4	4.8	4.3	3.8	10.3	7
NCU05618	0.6	1.5	6.2	7	3.8	4.7
NCU05619	0	0	2.4	1.5	1.7	2.8
NCU05620	39.6	38.3	32.9	26.8	29.4	20.6
NCU05621	0.3	0.3	0	0	0.3	0.3
NCU05622	20.6	23.2	19.9	22.9	28.6	21
NCU05623	101.7	95.4	87.3	78.9	77.4	118.9
NCU05624	2.3	2.3	3	3.4	3.8	1.9
NCU05625	0.2	0.6	1	1.2	0.7	1.4
NCU05626	0.5	0.4	0	0	0.2	0.8
NCU05627	15	16.2	64.2	52.1	52	53.4
NCU05628	1.2	4.5	16.2	16	14.7	5.5
NCU05629	19.1	21.9	173.1	147	138.4	31.5
NCU05630	0	0.2	0	0	0.5	0
NCU05631	0.4	0.1	0	0	0	0
NCU05632	3.5	3.2	2.7	2.6	2.8	2.2
NCU05633	67.7	77.6	84.3	87.4	48.4	63.8
NCU05634	12.5	11.5	10.8	8.9	12.3	8.3
NCU05635	2.3	3.6	4	3.3	2.1	2.6
NCU05637	3.1	3.3	3.7	4.2	5.4	3.7
NCU05638	40.2	41.8	26.6	27.6	42.4	25
NCU05639	0.7	1.4	0	0.3	1.1	0
NCU05640	2.5	3	2.9	1.9	3.6	2.7
NCU05641	3	4.6	2.3	4.4	5.4	2.2
NCU05642	74.1	78.6	73.9	82.2	225.8	108
NCU05643	0.2	0.1	0.2	0	0	0.2
NCU05644	22.8	24.3	18.4	17.1	11.9	23.6
NCU05645	13.1	12.7	19	12.5	14.1	10.8
NCU05646	20.9	21.8	21.4	17.8	32.8	18.9
NCU05647	0.6	0.2	0.6	0.8	0	0
NCU05648	2.7	2.4	11.6	15.1	13	8.7
NCU05649	0.8	0.7	0.2	0.2	0.3	0.9
NCU05650	26.7	30.3	49.7	44.3	51.5	67.2
NCU05651	0	0.7	0	0	0.6	0
NCU05652	8.6	4.7	0	2.7	0	1.7
NCU05653	5	5.9	16.6	10	12.5	8.9
NCU05655	0.2	0.1	0.3	0.1	0.3	0.5
NCU05656	0	0.2	0	0	0.4	0
NCU05657	0	0.1	0	0	0.3	0
NCU05658	0.7	0.6	0	0.9	0.7	0.2
NCU05659	0	0.2	0	0	0.5	0
NCU05660	0	0.2	0	0	0	0
NCU05661	0.4	0.5	0	0.4	0.4	0
NCU05662	0	0	0.9	0	0	0
NCU05663	10.8	12.6	10.9	12.6	18.2	7.5
NCU05664	19.8	21.7	28.9	32.5	41.6	37.3
NCU05666	0	0	0	0	0	0.8
NCU05667	5109.4	5529.6	2469.1	3567.3	2155.5	5439.9
NCU05668	0.2	0.3	0.4	0	0	0.4
NCU05669	0	0.3	0.3	0	0.3	0
NCU05670	0	0.3	0	0	0.2	0.3
NCU05671	0.9	0.3	0	0	0	0
NCU05672	0	0.7	0	0	0	0
NCU05673	0	0	0.3	0.3	0	0
NCU05674	0.2	0.3	0.2	0.5	0.6	0.9
NCU05675	0	0.2	0	0	0	0
NCU05676	0.6	0.4	0	0	0	0
NCU05677	0.7	1.1	0.3	0	0	0.4
NCU05678	0.5	0.4	0	0	1.5	0.5
NCU05679	0.3	0	0.5	0	0.3	0
NCU05680	107.7	105.5	127.6	126.8	82.5	109.4
NCU05681	1.4	1	9.5	7.4	11.8	2.6
NCU05683	14	14.3	8.6	7.5	10.1	9.6
NCU05685	83.9	89.1	88.2	92.2	108.5	120.9
NCU05686	110.5	109	175.2	220	148.3	325.9
NCU05687	0	0	0	0	0	0.2
NCU05688	6.2	6	7.9	5.7	11.8	3.5
NCU05689	899.3	903.9	812	764.5	515.3	732.9
NCU05691	2.8	3.4	1.7	2	2	1.8
NCU05692	7.5	8.3	9.8	11.2	13.4	11.1
NCU05693	84.7	87	231.6	217.7	187.7	81.9
NCU05694	1.6	1	1.3	2.1	1.9	2.1
NCU05695	1.4	1.9	1.6	1.3	2	1.7
NCU05697	4.4	5.2	3.8	5.3	6.1	4.1
NCU05698	0	0	0	0	0.3	0
NCU05699	0.2	0.2	0	0	0.4	0
NCU05700	7.5	9.8	4.8	3.9	6.6	7.4
NCU05703	0.4	0.2	0.4	0	0.4	0
NCU05704	0	0.1	0.3	0.3	0.3	0
NCU05705	0	0.3	0	0.6	0.7	1.4
NCU05706	44.3	36.5	25.1	26.4	85.1	50.3
NCU05707	0	0.2	0	0.4	0.5	1
NCU05708	1.6	1.4	1.6	1.2	2.2	2.9
NCU05710	0.3	0.2	0	0	0	0
NCU05711	0.3	0.1	0	0	0	0.3
NCU05712	158.3	131.4	260.6	206.2	210.2	91.4
NCU05713	0	0.1	0	0	0	0
NCU05714	64.6	64.1	70.1	64.3	54.8	93.6
NCU05715	39.8	43.3	49.3	46.7	51.8	36.2
NCU05716	53.3	49.2	46.8	53.6	52	42
NCU05717	101.9	96.3	98.8	108.4	72.1	108.1
NCU05718	5.4	7.2	7.5	10.4	10.5	14.7
NCU05720	44.5	46	48.8	64.8	34.5	68.7
NCU05721	27.4	26.3	15.7	23.4	26	22.6
NCU05722	0.2	0.3	0.2	0	0.4	0
NCU05723	33.7	37.1	28.3	33.1	31.9	24.9
NCU05726	13.5	15.7	16.4	12.4	16.3	23.6
NCU05728	0	1	0	0.8	0	0
NCU05730	0.4	0.8	0	0.3	0	0
NCU05731	52.9	72.3	48.5	51	59.7	44.4
NCU05732	1	1.3	0.3	0.6	1	0
NCU05733	10.4	8.7	3.3	5	14.3	8.5
NCU05735	1.6	1.8	0.5	0.4	1.9	1.5
NCU05742	0	0	0	0	0	0
NCU05749	0	0.2	0.7	0	0.4	0.4
NCU05750	13.4	11.2	8.1	7.3	6	8.7
NCU05751	0.4	0.3	0	0.7	0.4	0.4
NCU05752	126.9	125.9	87.8	50.5	137.4	117.2
NCU05753	12.7	15.4	11.5	11.7	20.3	13.2
NCU05754	0.1	0.2	0	0.1	0.1	0
NCU05755	2.1	2.2	3	4.6	1.2	0.9
NCU05756	61.7	139	54.6	80.2	56.7	141.8
NCU05757	12.1	9.9	11.2	11.3	12.8	13.5
NCU05758	0	0.1	0	0	0	0.2
NCU05759	1.1	0.6	0.7	0	0.7	0.4
NCU05760	0.4	1	0.4	0.7	0.4	0.4
NCU05761	0	0.4	0.3	0.5	0.3	0
NCU05762	0.5	0.3	0.2	0.2	0	0.2
NCU05763	4.7	0.6	0	0	3.1	0
NCU05764	0	0.1	0	0	0	0
NCU05766	0	0.5	2.2	3.9	0.7	1.5
NCU05767	0	0.2	0.5	0	0.1	0
NCU05768	2.7	1.6	2.5	2	12.1	2.5
NCU05769	0	0.1	0.4	0	0	0
NCU05770	52.3	46.8	67.6	65.4	80.1	52.6
NCU05771	14.4	12.6	11	7.5	21.6	8.8
NCU05772	226.5	212.2	235.1	254.6	248.8	344
NCU05773	0.3	0.1	0	0.1	0.1	0.3
NCU05774	0.2	0.1	0.1	0	0	0.1
NCU05775	13.5	15	20.6	36.9	15.1	32.7
NCU05776	67	71.4	50.8	49.6	25.5	46.9
NCU05777	59.7	57.4	50.9	44.4	36.2	42
NCU05778	201.6	210.6	180.6	154.3	150	285.5
NCU05779	0.9	0.6	0	0.4	0	0
NCU05780	61.7	64.4	13.4	13.8	8.8	8.3
NCU05781	20.1	21.4	26.4	24.2	22.9	20.1
NCU05782	23.2	24	20.5	27.3	25.7	41.7
NCU05783	5.1	6.4	3.1	4.6	2.5	4.2
NCU05784	9.1	10.7	13.9	10.8	15.6	6.6
NCU05785	74.8	77.2	62.9	83.4	57.7	92
NCU05786	261.8	268.6	258.5	253.3	229.4	205.1
NCU05787	1.1	0.2	1	0.5	0	0
NCU05788	4.3	3.2	1.6	3.7	2.5	3.7
NCU05789	107.5	103.7	327.3	464.5	356.8	240.4
NCU05790	0.5	0.1	0.1	0.2	0.2	0
NCU05791	68.5	62	60.9	71.2	71.4	68.7
NCU05794	0.6	0	0	0	0.6	0
NCU05795	1.8	0	0	0	0.4	0
NCU05796	73.4	73.6	79.1	57.3	69.1	44.7
NCU05797	37.5	34.8	32.5	27.1	32.2	33.9
NCU05798	2.4	2.4	11.6	10.1	14.3	6.4
NCU05800	329.5	325.4	402.9	339.6	483.9	399.3
NCU05801	3.2	2.3	0.8	0.3	0.6	0.3
NCU05802	16.9	15.8	17.5	13.3	25.7	12.2
NCU05803	42.3	41.8	44.5	38	38.3	37
NCU05804	3021	3090.9	3114.9	2712.5	2873.9	2548.7
NCU05805	87.7	92.4	63.9	63.5	117.6	87.4
NCU05807	13.6	13.2	16.9	16.4	23.8	9.6
NCU05808	8.2	8	4.5	12.2	8.7	9.3
NCU05809	10.8	13	11.3	6.7	11.5	8
NCU05810	2989.3	2999	2651.1	2174.4	2891.5	2417.1
NCU05811	1.4	0.8	0	0	0	0
NCU05812	0	0.4	0	0.4	0.2	0.2
NCU05813	61.4	71.8	86.3	77.9	58.5	80.6
NCU05814	8.5	10.9	44.1	47.1	36.3	26.5
NCU05816	1022.7	1057.8	1342	1187.6	865.8	1313.1
NCU05817	2.7	0.9	1.6	1.6	2.4	0.3
NCU05818	0.2	0.2	0.3	0.3	0.4	0
NCU05819	1.4	0.8	1.7	2.1	1.7	0.5
NCU05820	2.2	2.2	5.8	4.7	4.7	7
NCU05821	0.2	0.3	0	0	0.2	0
NCU05822	0.8	0.4	24.2	33.7	30	50
NCU05823	0.4	0.3	0.3	0	0.3	0
NCU05824	0	0	0	0	0	0
NCU05825	0.7	0.4	0	0.6	0	0
NCU05826	29.5	29	88.1	114.1	63.4	107.1
NCU05827	0	0.2	0	0.7	0	0.4
NCU05828	22.7	22.7	61.5	59.9	56.7	69.9
NCU05829	67.5	71.9	55.7	74.9	46.6	161.2
NCU05830	24	24.2	38.2	45.9	31.4	86.8
NCU05831	2.8	2.3	2.5	1.1	1.7	1.6
NCU05832	166	164.6	142.2	133.4	178.7	70.8
NCU05833	0.6	0.7	0.5	0.4	0.3	0.3
NCU05834	1.8	2.7	7.8	5.4	9	2.5
NCU05835	33.9	34.1	94.5	116.5	91.3	100.5
NCU05836	44.1	42.9	77.1	62.4	59.3	54.6
NCU05837	31.3	30.7	18.4	18.7	22.6	10.9
NCU05838	5.2	5.3	0.6	0.8	0.4	1.9
NCU05839	0	0.1	0.3	0	0	0.4
NCU05840	9.7	8.8	3.9	3	5.3	2.3
NCU05841	84.6	86.3	20.3	22.6	25.1	9.6
NCU05842	0.6	0.6	0.2	0.7	0.6	1.1
NCU05843	0	0.2	0	0	0	0
