ORF	WT	Opt
NCU00103	61.4	86.2
NCU00104	178.2	101.5
NCU00105	55.9	38.8
NCU00106	115.5	90.5
NCU00107	37.3	37.9
NCU00108	21.9	36.2
NCU00109	29.5	33.9
NCU00110	14.8	15.5
NCU00111	68.2	41.1
NCU00112	74.1	58.8
NCU00114	90.5	64.7
NCU00115	9.6	17.4
NCU00116	71.7	59.9
NCU00117	25.1	19
NCU00118	0.9	0
NCU00119	14.7	13.4
NCU00120	3.4	5
NCU00121	17.6	39.3
NCU00122	156.8	177.4
NCU00123	0	0
NCU00124	27.5	16.1
NCU00125	8.3	8.6
NCU00126	10.2	13.9
NCU00127	106.4	99.1
NCU00128	0.3	0.2
NCU00129	0.5	0.8
NCU00130	9.9	2.7
NCU00132	27.6	27
NCU00133	117.2	101.6
NCU00134	51.2	29.1
NCU00135	56.8	42.9
NCU00136	13.1	12.3
NCU00137	101.8	136.1
NCU00138	0.1	4
NCU00142	14.7	10.9
NCU00143	0	0
NCU00144	17	28.7
NCU00145	22.4	52
NCU00146	35	18.5
NCU00147	244.1	314.5
NCU00148	19.6	33
NCU00149	2.8	12.3
NCU00150	151.6	142
NCU00151	10.8	18.2
NCU00152	56.5	55.4
NCU00153	10.2	21.6
NCU00154	52.7	80.1
NCU00155	14.1	22.3
NCU00157	86.6	57.7
NCU00158	13.9	22.5
NCU00159	8.9	11.1
NCU00160	386.1	240.6
NCU00161	12.9	5.8
NCU00162	46	39.7
NCU00163	21.8	9.1
NCU00164	11.3	12.2
NCU00166	7	22.2
NCU00167	21.2	22.8
NCU00168	68.1	43.5
NCU00169	108.8	119.6
NCU00170	83	67.3
NCU00171	45.5	53.3
NCU00172	27.9	30
NCU00173	68.3	76.8
NCU00175	155.1	52.2
NCU00176	0.3	1
NCU00177	387.3	313.3
NCU00178	13.5	23.5
NCU00179	0	0
NCU00180	0.2	0.7
NCU00181	14.9	27.1
NCU00182	93.7	52.4
NCU00183	17.3	21.2
NCU00184	11.3	31.8
NCU00185	0	0.2
NCU00186	4.9	7.5
NCU00187	64.2	45.4
NCU00188	20.5	18.7
NCU00189	0.3	0.4
NCU00192	0	0
NCU00193	22.6	31
NCU00194	357	279.6
NCU00195	23.5	16.5
NCU00196	33.6	26
NCU00197	0	0
NCU00198	290.7	168.3
NCU00199	59.6	40.7
NCU00200	131.3	94.3
NCU00201	0	0
NCU00202	228.2	199.1
NCU00203	33.1	25.4
NCU00204	11.2	13.5
NCU00205	7	7
NCU00206	0.1	0.1
NCU00207	20.5	21.2
NCU00208	0	0.1
NCU00209	56	47
NCU00210	69.3	61.1
NCU00211	89.7	54.2
NCU00212	1566.9	2159.6
NCU00213	10.2	7.3
NCU00214	37.6	32.1
NCU00215	31.1	24.5
NCU00216	171.4	151.8
NCU00218	5.6	11.1
NCU00219	31.8	29.8
NCU00220	10.9	13.7
NCU00221	0.1	0.7
NCU00222	32.7	30.9
NCU00223	80.8	34.4
NCU00224	0	0
NCU00225	621.5	459.6
NCU00226	31.2	20.7
NCU00227	40.5	40.5
NCU00229	0	0
NCU00230	53.1	31.1
NCU00231	0.1	0.2
NCU00232	16.3	16
NCU00233	0	0
NCU00234	6.5	6.2
NCU00236	29.9	47.5
NCU00237	7	6.4
NCU00238	0.1	0
NCU00239	27	24.3
NCU00240	14.3	9.3
NCU00241	28.5	36.7
NCU00242	20.9	47.2
NCU00243	131.2	136.7
NCU00244	26.9	50.3
NCU00245	2.1	4.5
NCU00246	0.2	0.3
NCU00247	10.4	3.6
NCU00248	21	51.3
NCU00249	30.5	48.4
NCU00250	1.2	0.5
NCU00251	0.4	1.1
NCU00252	0.2	0.1
NCU00253	28.8	43
NCU00254	0	0
NCU00257	11.1	12.4
NCU00258	986.4	601.9
NCU00259	12.1	7.9
NCU00260	437.6	103.2
NCU00261	111.5	81.2
NCU00262	0.1	2
NCU00263	42.6	170.9
NCU00264	44.6	28.3
NCU00265	17.6	546.2
NCU00267	2.8	2.6
NCU00268	3.1	7.7
NCU00269	18.7	21.4
NCU00270	18.5	24
NCU00271	0	0
NCU00272	36.1	44.4
NCU00273	44.7	33.8
NCU00274	9.1	5.3
NCU00275	4.7	3.9
NCU00276	4.2	1.7
NCU00277	24.7	45.9
NCU00278	46.9	64.3
NCU00279	4.1	6.4
NCU00280	13.6	18.1
NCU00281	9.5	6.6
NCU00282	2.8	2.9
NCU00283	0.4	0.3
NCU00284	0	0.2
NCU00285	11.2	12.4
NCU00287	44.3	8.7
NCU00288	0	0
NCU00289	28.8	17.1
NCU00290	0.6	5.5
NCU00291	23.4	51.2
NCU00292	0.1	0.6
NCU00293	32.3	47.8
NCU00294	1316.3	532.5
NCU00295	124.1	73.3
NCU00296	0	0.4
NCU00297	0	0
NCU00298	1.3	3.7
NCU00299	10.5	14.6
NCU00300	7.8	29.4
NCU00301	45.3	44.1
NCU00302	33.5	36.6
NCU00303	47.2	94.5
NCU00304	208.3	163.4
NCU00305	9.1	9.5
NCU00306	15.4	16.3
NCU00307	0	0.9
NCU00308	3.9	8.7
NCU00309	86.3	34.5
NCU00310	3.7	3.5
NCU00311	67.5	61
NCU00312	2.2	0.7
NCU00313	0	1.8
NCU00314	0	0
NCU00315	2824.4	1581.1
NCU00316	11.4	11.8
NCU00317	2.3	3.9
NCU00318	0	0
NCU00319	3.9	5.6
NCU00320	18.8	12.9
NCU00321	21.8	44.5
NCU00322	156.5	47.9
NCU00324	18.8	16.1
NCU00325	12.7	12.3
NCU00326	158.6	88.9
NCU00327	0	0
NCU00329	2.6	1.5
NCU00330	2.4	5.4
NCU00331	0.9	1
NCU00332	56.9	42.8
NCU00333	14.4	19.9
NCU00334	45.1	44
NCU00335	39.4	57.6
NCU00336	28.8	20.6
NCU00337	18	23.3
NCU00338	1.5	1.2
NCU00339	0	0.3
NCU00340	47.2	52.5
NCU00343	0	0
NCU00344	6.6	6.7
NCU00345	14.1	12.7
NCU00346	64.4	99.6
NCU00347	38.4	79.9
NCU00348	53.7	34.1
NCU00349	12.1	9.8
NCU00350	110	190.1
NCU00351	22.2	17.6
NCU00352	54.4	35
NCU00353	0	0.3
NCU00354	0	0
NCU00355	937.2	31.8
NCU00356	9.6	9.7
NCU00357	30.9	23.8
NCU00358	21	25.8
NCU00359	24	38
NCU00360	84.2	64.8
NCU00361	36.4	40.9
NCU00362	0.1	0
NCU00363	0.1	0
NCU00364	34.7	36.2
NCU00365	106.8	72.7
NCU00366	236.7	255.4
NCU00367	0	0.2
NCU00368	0.1	0
NCU00369	28.4	98.4
NCU00370	0.3	0
NCU00371	80.6	65.5
NCU00372	28.3	15.7
NCU00373	7.8	45.3
NCU00375	0	0
NCU00376	25.6	41.8
NCU00377	30.1	46.9
NCU00378	170.3	155.7
NCU00379	63.9	47.2
NCU00380	0.1	0
NCU00382	10.4	9.8
NCU00384	0	0
NCU00385	393	353.2
NCU00386	0.1	0.3
NCU00387	7.5	13.2
NCU00388	28.3	25.8
NCU00389	103.3	74.9
NCU00391	0	0
NCU00392	24.3	21
NCU00395	99.8	98.7
NCU00396	69.5	41.1
NCU00397	242.7	109.1
NCU00398	9.5	8.4
NCU00399	113.6	44.2
NCU00400	6.5	6.8
NCU00401	13.8	7.2
NCU00403	6.6	2.5
NCU00404	37.1	40.8
NCU00405	543.3	324
NCU00406	83	129.8
NCU00407	4.5	7.2
NCU00408	23.3	12.4
NCU00409	39.1	35.7
NCU00410	224.6	150
NCU00411	56.9	61.4
NCU00412	19.1	19
NCU00413	1825.6	1225.1
NCU00414	388.5	269.2
NCU00415	18.5	10
NCU00416	1.8	3.8
NCU00417	45.3	110.4
NCU00418	320	187.4
NCU00419	47.6	53.2
NCU00420	57.2	93.9
NCU00421	25.3	19.3
NCU00422	692.2	795.9
NCU00423	11.9	11.4
NCU00424	40.7	38.2
NCU00425	0	0
NCU00426	10.1	19.1
NCU00427	22.5	20.4
NCU00428	15.8	11.9
NCU00430	43.9	54
NCU00431	196.1	177.2
NCU00432	17.9	28.9
NCU00434	60.9	64.8
NCU00435	47.4	53.6
NCU00436	92.5	64.8
NCU00437	9.4	13.4
NCU00438	6.2	6.5
NCU00439	0.5	2.7
NCU00440	145.3	162.9
NCU00441	32.4	66.5
NCU00442	37.8	40.2
NCU00443	1088.8	1552.7
NCU00444	112	103
NCU00445	10	9
NCU00446	17.2	9.5
NCU00447	120	87.2
