ORF	WT	Opt
NCU01178	52.2	52.4
NCU01179	282.5	153.1
NCU01180	9.9	10.6
NCU01181	146.2	155.1
NCU01182	7.6	3.5
NCU01183	93.9	74.1
NCU01184	34.7	34.9
NCU01185	6.9	13.5
NCU01186	17.8	19.1
NCU01187	12.7	13.2
NCU01188	39.4	60.1
NCU01189	27.4	20.3
NCU01190	109.1	136
NCU01191	4	9.4
NCU01192	34.3	22.5
NCU01193	20.3	24.2
NCU01195	4897.9	2723.5
NCU01196	0.6	1.7
NCU01197	287.9	180.3
NCU01198	17.6	16.9
NCU01199	7.9	9.7
NCU01200	505.1	390.7
NCU01201	85.4	63.9
NCU01202	134.1	96.9
NCU01203	18.2	24.7
NCU01204	980.6	1384.8
NCU01205	17.8	14.4
NCU01206	10.1	7.3
NCU01207	455.8	432.7
NCU01208	14.5	10.3
NCU01209	0.9	0.7
NCU01211	16.1	30
NCU01212	0	0.3
NCU01213	61.2	51.1
NCU01214	0.1	0.2
NCU01215	28.5	56.9
NCU01216	54.6	45.7
NCU01218	82.3	87.7
NCU01219	524.7	216
NCU01220	67.4	100.3
NCU01221	1069.3	680.8
NCU01223	0.6	0
NCU01224	288.8	216.7
NCU01225	50.4	38.2
NCU01227	667.9	492.5
NCU01229	56.4	45.5
NCU01230	8.5	15.8
NCU01231	0.6	0
NCU01233	42.1	26.8
NCU01234	133.3	92.2
NCU01235	57.1	54.7
NCU01236	1.3	3.1
NCU01238	18.9	18
NCU01240	223.1	194.8
NCU01241	131.4	103.6
NCU01242	12	10.3
NCU01243	53.5	41.1
NCU01245	23.8	22.9
NCU01246	10.4	7.7
NCU01247	41.7	44
NCU01248	2.9	2
NCU01249	364.5	238.5
NCU01250	20.9	17.9
NCU01252	45.7	44.5
NCU01253	6.8	7.7
NCU01254	17.7	17
NCU01255	50	47.3
NCU01256	20.6	21.6
NCU01257	61.9	79.1
NCU01258	86.7	51.5
NCU01259	21.9	30.3
NCU01260	2.9	1.7
NCU01261	0	0
NCU01262	0	0.6
NCU01266	4.1	4.7
NCU01267	27.6	34.6
NCU01268	19.6	32.2
NCU01269	22.6	20.9
NCU01270	0.4	0.5
NCU01271	131.2	77.5
NCU01272	130.4	122.2
NCU01273	26.3	26.3
NCU01274	14.8	17.8
NCU01275	8.8	18.4
NCU01276	42.2	46.9
NCU01277	31.2	54.7
NCU01278	33.7	25.1
NCU01279	43.7	35.3
NCU01281	0	0
NCU01282	58.6	106.7
NCU01283	235.3	309.3
NCU01284	15.7	27.3
NCU01285	28.9	16.7
NCU01288	13	11.9
NCU01289	10.5	32.3
NCU01290	223	232.9
NCU01291	105	77
NCU01292	3.2	2.5
NCU01294	24.4	26.1
NCU01296	49.4	52.8
NCU01297	62.7	43
NCU01298	12.9	2.2
NCU01299	43.4	46.2
NCU01300	130.9	81.6
NCU01301	44.3	61.5
NCU01302	33.2	44.6
NCU01303	10.6	8.4
NCU01304	22.9	18.3
NCU01305	35.3	18.9
NCU01306	17.5	28
NCU01307	19.5	70
NCU01308	0	0
NCU01309	9.4	5.9
NCU01310	40.1	37.3
NCU01311	1.1	2.3
NCU01312	14.4	17.6
NCU01313	0	0
NCU01314	0	0
NCU01315	25.5	19.8
NCU01317	1066.5	1016.8
NCU01318	196.6	166.3
NCU01319	74.6	50.7
NCU01320	62.2	52
NCU01321	1.3	1.6
NCU01322	12.3	12.2
NCU01323	38.2	34.1
NCU01324	30	35.2
NCU01325	1.3	0
NCU01326	0.2	0.2
NCU01327	39.1	81.9
NCU01328	1839.9	1124.4
NCU01329	5.8	10.1
NCU01330	24.3	14
NCU01331	160.9	129.1
NCU01332	546	432.8
NCU01333	58.3	79.1
NCU01334	0.3	0.2
NCU01335	14	13
NCU01336	21.6	18.3
NCU01337	13	11.2
NCU01338	10.1	16.2
NCU01339	16	20.2
NCU01340	12.3	27.2
NCU01341	45.3	39.2
NCU01342	188.1	138.3
NCU01343	39.3	82.5
NCU01344	16.8	29.9
NCU01345	50.2	37.4
NCU01346	0	0
NCU01347	39.2	46.3
NCU01348	28.7	8.4
NCU01349	8.8	7.9
NCU01350	0	0
NCU01351	0.3	0
NCU01353	172.5	159.1
NCU01355	1.4	0.6
NCU01356	8.4	16.8
NCU01357	0.2	0.3
NCU01358	0	0
NCU01360	305.5	218.7
NCU01361	20.1	24.4
NCU01362	46.4	33.3
NCU01364	42.1	48.9
NCU01365	4	2.5
NCU01366	5.8	5.2
NCU01367	30	31
NCU01368	334.5	393
NCU01369	516.4	362.2
NCU01370	4.8	4.9
NCU01371	13.2	16.5
NCU01373	0	0
NCU01374	7.5	9.6
NCU01375	0	0.5
NCU01376	15.6	5.9
NCU01377	9.7	10
NCU01378	23.9	12
NCU01379	27.1	18.2
NCU01380	1.3	14.1
NCU01381	59.4	119.6
NCU01382	6.9	39
NCU01383	0.6	2.3
NCU01385	0	0
NCU01386	9.9	12.7
NCU01387	3.7	2.6
NCU01388	50.9	46.7
NCU01389	4	8.7
NCU01390	11.2	31.4
NCU01391	175.4	233.7
NCU01392	0	0
NCU01393	22.7	30.5
NCU01394	0	0.3
NCU01395	29.3	138.8
NCU01396	0.4	0.5
NCU01397	29.7	28.1
NCU01398	1.3	0.4
NCU01399	31.2	37.6
NCU01400	21.3	33.8
NCU01401	22.3	11.7
NCU01402	0.1	0
NCU01403	7	13.8
NCU01404	16.5	12.3
NCU01407	0.2	0
NCU01408	61.5	41.7
NCU01409	29.4	27.9
NCU01410	18.1	17.7
NCU01411	1.7	1.3
NCU01412	90.2	125.7
NCU01413	26.2	38.8
NCU01414	148.9	160.6
NCU01415	0	0
NCU01416	0	0
NCU01417	11.3	7.9
NCU01418	650.6	737.9
NCU01419	95.5	52.8
NCU01420	123.9	90
NCU01421	15.4	14.3
NCU01422	513.2	677.8
NCU01423	0.2	0.1
NCU01424	470.2	264.2
NCU01425	304.2	224.9
NCU01426	24.1	10.7
NCU01427	41	63.6
NCU01428	323.9	384.5
NCU01429	550.6	291.7
NCU01430	4.8	2.8
NCU01431	28.9	30.8
NCU01432	24.3	19.7
NCU01433	51.9	45.6
NCU01434	4.4	15.5
NCU01435	25.7	20.4
NCU01436	461.9	291.5
NCU01438	864.3	895.9
NCU01439	1347.2	961.8
NCU01440	123.2	101.2
NCU01441	140.6	115.8
NCU01442	2.8	41.5
NCU01443	411.1	328.9
NCU01444	148.2	118.4
NCU01445	15.9	9.6
NCU01446	148	147.9
NCU01447	70.5	117.9
NCU01448	0	0
NCU01449	97.4	54.9
NCU01450	0.5	0.6
NCU01451	82.6	30.9
NCU01452	2508.8	1847.3
NCU01453	29.2	13.6
NCU01454	52.1	41.8
NCU01455	44.1	39.3
NCU01456	44.7	41.4
NCU01457	14.5	12.1
NCU01458	13.7	18.9
NCU01459	15.2	14.1
NCU01460	107	83.2
NCU01461	19.5	15.5
NCU01462	0.2	0
NCU01463	1.3	3.7
NCU01464	49.4	48.5
NCU01465	23.1	20.2
NCU01466	11.1	9.2
NCU01467	212.3	203.5
NCU01468	127.3	140.7
NCU01469	24.9	58.6
NCU01470	75.2	76
NCU01471	39.7	34.1
NCU01472	0	0
NCU01473	67.4	52.7
NCU01474	72.6	68.6
NCU01475	23.1	22.6
NCU01476	16.3	12.1
NCU01477	18.1	24.7
NCU01478	31.8	49.8
NCU01479	147.2	193.4
NCU01480	9.3	11.8
NCU01481	8.7	13.8
NCU01483	97.7	158.7
NCU01484	885.1	1472.7
NCU01485	80.6	77.7
NCU01486	33.6	30.8
NCU01487	315.3	583.1
NCU01488	0	0.2
NCU01489	219.9	239
NCU01490	3.5	6.3
NCU01491	3.8	3.4
NCU01493	1.1	2
NCU01494	0.3	0.2
NCU01495	0	0.1
NCU01496	3.4	0.5
NCU01498	35.5	41.3
NCU01499	33.1	33.3
NCU01500	27	25.4
NCU01501	63.8	66.7
NCU01502	26.2	30.7
NCU01503	41.8	43.4
NCU01504	205.3	170.3
NCU01505	0	0.1
NCU01506	12.6	12.7
NCU01509	34.5	100.1
NCU01510	73.1	18.5
NCU01511	97.2	211.2
NCU01512	40.9	31
NCU01514	11.6	13.5
NCU01515	71	55.1
NCU01516	95	72.4
NCU01517	27.5	51.2
NCU01519	0	0
NCU01520	0	0
NCU01521	1.8	3.6
NCU01522	8.7	6
NCU01523	435.7	351.5
NCU01524	68.1	74.8
NCU01525	24.9	28.5
NCU01526	0	0
NCU01527	14.2	15
NCU01528	23920.8	16586.3
NCU01529	0	0
NCU01530	0.2	0
NCU01531	0	0
NCU01532	0	0
NCU01534	32.6	45.9
NCU01535	74.3	61.8
NCU01536	0	0.5
NCU01539	14.1	12.1
NCU01540	46.4	32.2
NCU01541	8.9	64.5
NCU01542	8.4	8.7
NCU01543	54	31.1
NCU01545	432	397
NCU01546	1067.1	2027
NCU01547	127.4	173.9
NCU01548	267.3	406.4
NCU01549	59.4	69.3
NCU01550	337.6	201.8
NCU01551	8.6	16
NCU01552	2239.7	1639.5
NCU01553	16.8	15.4
NCU01554	26.7	20.8
NCU01555	86.8	33.2
NCU01559	53.2	53.6
NCU01560	0.4	1
NCU01561	0	0
NCU01562	0	0
NCU01563	5.2	4.3
NCU01564	22.5	15.9
NCU01565	31.7	84.3
NCU01566	0.2	0
NCU01567	0.1	0
NCU01568	17.4	21.5
NCU01569	11.5	12.6
NCU01570	2.4	1.2
NCU01571	27.1	34.6
NCU01572	0	0
NCU01573	0	0
NCU01575	49.6	30.4
NCU01577	8.3	9.4
NCU01579	4.7	6.6
NCU01580	12.5	8.4
NCU01581	9.3	10.3
NCU01584	14.4	17.2
NCU01585	67.8	117.9
NCU01587	1354.2	1017.9
NCU01589	315.4	252.5
NCU01591	0	0.1
NCU01592	0	0
NCU01593	0.1	0
NCU01595	25.8	18.5
NCU01596	188.6	173.2
NCU01597	4.6	4.6
NCU01598	0	0.8
NCU01599	23.9	18.1
NCU01601	73.3	113.5
NCU01605	26.6	19.6
NCU01606	411.1	279.3
NCU01607	5.2	13.6
NCU01608	0.1	0.2
NCU01610	0	0
NCU01611	20.7	12.5
NCU01612	53.7	39.3
NCU01613	41.2	25.2
NCU01614	143.1	147
NCU01615	8	7.9
NCU01620	3.2	2.4
NCU01623	4.9	4
NCU01625	12.9	11.2
NCU01629	5.8	20.7
NCU01631	0	0
NCU01632	271.3	211.3
NCU01633	917.4	1575.2
NCU01634	2203.8	2397.1
NCU01635	2495	1540.2
NCU01636	25.3	29.6
NCU01637	26	27.7
NCU01638	55.3	48.6
NCU01640	80.4	75.8
NCU01642	42.5	32.1
NCU01643	53.4	41.6
NCU01644	29.1	27.4
NCU01645	108.3	124.9
NCU01646	14.2	11.7
NCU01647	55.4	76.4
NCU01648	166.9	95.1
NCU01649	4	7.2
NCU01650	54.7	71.7
NCU01651	4.1	3.7
NCU01652	178.4	339.1
NCU01653	0.2	2.1
NCU01654	88.4	74.6
NCU01655	57.1	73.5
NCU01656	4.7	3.2
NCU01657	49.7	38.8
NCU01658	20.2	13.1
NCU01659	41.7	37.8
NCU01660	2.4	0
NCU01664	16.4	24.1
NCU01665	40.7	39
NCU01666	527.6	544.4
NCU01667	136.5	130.3
NCU01668	28.8	19.1
NCU01669	77.7	62.5
NCU01670	31	31.4
NCU01672	0.4	0.2
NCU01673	19.4	34.5
NCU01674	235.7	259.9
NCU01675	48.7	49.5
NCU01678	3.3	0.6
NCU01679	5.9	5
NCU01680	3041.5	1912.2
NCU01681	0	0
NCU01684	0	0.4
NCU01686	0	0.4
NCU01688	0	0
NCU01689	203.2	332.4
NCU01692	1517.4	952.6
NCU01695	29.7	30.2
NCU01696	12.6	13.5
NCU01697	3.2	55.7
NCU01698	52.2	76.2
NCU01699	0	0.8
NCU01700	12.5	16.2
NCU01701	62.3	37.5
NCU01702	95.8	66.9
NCU01703	34.5	38.7
NCU01704	154.5	113.9
NCU01705	14.5	17.5
NCU01706	4.8	3.4
NCU01713	42.7	69.6
NCU01715	9.2	7.8
NCU01717	0	0
NCU01720	174.1	98.6
NCU01722	36.9	30.9
NCU01724	66.6	43.3
NCU01725	9.4	10.6
NCU01728	108.7	121.5
NCU01729	19	21.2
NCU01731	53	48.3
NCU01734	0	0
NCU01735	16.4	7.9
NCU01737	34.4	25
NCU01738	8.2	4
NCU01739	72.6	92.6
NCU01740	299.6	571.3
NCU01741	19.8	48.7
NCU01742	28.6	24
NCU01744	390.9	291.8
NCU01745	81.9	50
NCU01746	9.7	16.1
NCU01747	58.4	69.8
NCU01748	126.5	148.9
NCU01750	2.6	3.2
NCU01751	38.9	25.4
NCU01752	73.7	213.5
NCU01753	33.3	31.3
NCU01754	5541.7	13528.3
NCU01756	220.8	195.8
NCU01757	1.8	2
NCU01758	26.1	16.4
NCU01759	108.2	66.6
NCU01760	0.1	0
NCU01761	90.7	133.3
NCU01762	16.4	11
NCU01763	10.9	13.6
NCU01764	8.9	5.8
NCU01765	442.2	346.9
NCU01766	47.6	44.4
NCU01767	90.8	78.2
NCU01768	513.8	202.5
NCU01769	11.2	5.7
NCU01771	4.4	4.5
NCU01772	18.5	14.6
NCU01776	1126.7	709
NCU01777	62	47
NCU01779	59.6	60.3
NCU01780	12.5	10.4
NCU01781	25.2	28
NCU01782	27.6	27.8
NCU01783	6.5	8.5
NCU01784	15.8	17.5
NCU01785	12.3	14.4
NCU01786	83.7	40.4
NCU01788	5.7	2.7
NCU01789	37.4	49.4
NCU01790	12	9.8
NCU01791	24.4	38.2
NCU01792	428.5	414.3
NCU01793	131.9	175.4
NCU01794	107.5	146.1
NCU01795	92.4	101.5
NCU01796	10.1	7.9
NCU01797	87.6	73.1
NCU01798	0	0
NCU01799	11.2	49.7
NCU01800	74.5	73.9
NCU01801	4.7	15.7
NCU01802	0	0
NCU01803	24.8	37.5
NCU01804	18.2	19.7
NCU01805	10.8	21.2
NCU01806	38.7	25.7
NCU01807	33.9	25.8
NCU01808	1607.4	1232.2
NCU01809	20.9	19.4
NCU01810	17.4	15.9
NCU01811	5.8	8
NCU01812	1	0.7
NCU01813	66.9	48.1
NCU01814	36	37.8
NCU01815	59.5	46.3
NCU01816	236.8	251.1
NCU01817	44.8	48.8
NCU01818	6.6	11.9
NCU01819	0.6	1
NCU01820	269.7	166.8
NCU01821	227.7	172.3
NCU01822	65.2	104.1
NCU01823	21.8	15.6
NCU01824	505	645.9
NCU01826	111.6	110.9
NCU01827	2329.2	1520.7
NCU01828	31.7	31.8
NCU01829	0.5	2
NCU01830	0	1.9
NCU01831	16.4	8.9
NCU01833	14.2	10
NCU01834	0	0.8
NCU01835	254.7	276.7
NCU01837	0	0
NCU01838	105.3	79.7
NCU01839	11	16.1
NCU01840	0.1	0.4
NCU01841	16.2	23
NCU01842	14.2	14.7
NCU01843	280	258.7
NCU01844	12.2	51.8
NCU01845	137.1	194.4
NCU01846	50	73
NCU01848	0	0
NCU01849	0.3	2.8
NCU01850	20.3	29.1
NCU01851	1.1	0.8
NCU01852	0.6	0.7
NCU01853	0.2	0
NCU01854	87.7	50.9
NCU01855	25.3	33.6
NCU01856	89.6	103.8
NCU01857	39.5	32.5
NCU01858	19.1	16.1
NCU01859	235.9	202.9
NCU01860	0.4	0.8
NCU01861	41.6	3.2
NCU01862	9	18.3
NCU01863	0	0.4
NCU01865	4.3	5
NCU01866	0	0
NCU01867	0	0
NCU01868	0	0.3
NCU01869	0.2	0.9
NCU01870	2	0.5
NCU01871	233.6	517.6
NCU01872	0	0
NCU01873	0	0
NCU01874	0.1	0
NCU01875	0	0.5
NCU01876	0	0
NCU01877	0	0
NCU01878	40.1	51.2
NCU01879	22.3	21.3
NCU01880	0.1	0
NCU01881	29	9.1
NCU01882	214.4	165.5
NCU01883	24.8	29.8
NCU01884	2.8	1.2
NCU01886	147.6	94
NCU01888	10	8
NCU01889	27	31.9
NCU01891	19.9	7.6
NCU01893	14.5	14
NCU01894	129.9	105.9
NCU01895	20.3	21.6
NCU01896	7	3.6
NCU01897	26.9	28.1
NCU01898	28.7	9.9
NCU01899	0	0.1
NCU01900	3.7	6
NCU01901	11	14.7
NCU01902	102.1	145.8
NCU01903	0.4	1.9
NCU01904	103.6	67.4
NCU01905	21.3	24.5
NCU01906	31.7	5.5
NCU01907	75.5	63.1
NCU01908	14.5	15.4
NCU01910	22	17.1
NCU01911	23.3	39.4
NCU01912	139.9	144.9
NCU01913	44.6	46.4
NCU01914	79.3	96.9
NCU01916	29.1	32.9
NCU01917	0.1	0.1
NCU01918	140.4	131.9
NCU01919	147.7	183.8
NCU01920	17.9	37.9
NCU01922	40.6	26.7
NCU01923	0	0
NCU01924	71.1	36.7
NCU01926	5.4	4.2
NCU01927	40.7	50.6
NCU01928	22.6	33.9
NCU01929	27.4	15
NCU01930	104.2	153
NCU01931	1.5	5.2
NCU01932	14.3	16.8
NCU01935	9.6	11.2
NCU01936	9.7	5.2
NCU01938	106.6	92.3
NCU01939	237	179.1
NCU01940	55.9	49
NCU01942	0	0
NCU01943	0.4	0
NCU01944	25.3	21.7
NCU01945	102.3	140.7
NCU01946	0	1.7
NCU01947	12.8	6.9
NCU01948	1448.3	1056.6
NCU01949	1903.4	1899.5
NCU01950	23.1	29.3
NCU01951	1.4	0.8
NCU01953	23.6	22.7
NCU01954	10.3	22.7
NCU01955	96.3	105.1
NCU01956	121.5	119.5
NCU01957	806.2	333.5
NCU01958	0	9.8
NCU01959	0	0
NCU01960	0	0.4
NCU01961	1.9	6.3
NCU01962	1318.7	693.6
NCU01963	6.7	3.6
NCU01964	51.4	45.6
NCU01965	368.8	283.4
NCU01966	1160.5	1163.5
NCU01967	26.5	43
NCU01968	12.2	33.5
NCU01969	8.3	24.7
NCU01970	54.9	284
NCU01971	12.8	37
NCU01972	8.6	6.6
NCU01973	7.6	4.2
NCU01974	9.1	11.7
NCU01975	30.5	26.3
NCU01976	0.1	0.2
NCU01977	1558.8	899.8
NCU01978	0.7	1.1
NCU01979	3.7	5.2
NCU01980	2.6	3.2
NCU01981	639.2	686.5
NCU01982	9.3	5.9
NCU01983	68.9	66
NCU01984	29.4	35.3
NCU01985	924.9	417.2
NCU01987	0	0
NCU01988	0.3	0
NCU01989	94.2	16.6
NCU01990	57.3	51.7
NCU01991	30.2	25.5
NCU01992	216.4	238.4
NCU01993	50.2	49
NCU01994	31	31.2
NCU01995	0	0.1
NCU01996	42.2	28.8
NCU01997	33.1	24.6
NCU01998	34.7	20.6
NCU01999	18.2	20.4
NCU02000	43.7	32.7
NCU02001	25.6	33.1
NCU02002	13.3	10.4
NCU02003	16170.5	10450.5
NCU02004	135.4	118.4
NCU02005	133.5	80.3
NCU02006	28.9	24.7
NCU02007	164.9	218
NCU02008	0	0
NCU02009	58.3	47.8
NCU02010	330.3	275.1
NCU02011	245.6	132.5
NCU02012	15.2	12.3
NCU02013	98.2	121
NCU02014	5.5	18.1
NCU02015	8.4	9.2
NCU02016	570.6	682.3
NCU02017	29.5	20.2
NCU02018	68.9	50.6
NCU02019	1.5	7.8
NCU02020	87.7	56
NCU02021	0	0
NCU02022	2356	32510.1
NCU02023	0	0.3
NCU02024	20.6	17
NCU02025	39	47.4
NCU02026	27	31.3
NCU02027	180.4	117.2
NCU02028	18.3	28.7
NCU02029	0	0
NCU02030	0.3	0.4
NCU02031	15.9	32.8
NCU02032	0.1	0
NCU02033	8.8	11.7
NCU02034	0	0.2
NCU02035	2	0.7
NCU02036	11.1	9.1
NCU02037	0	0.2
NCU02038	0	0
NCU02039	1.3	2.6
NCU02040	0	0.1
NCU02041	410.4	622.4
NCU02042	3	8.9
NCU02043	10.6	25.3
NCU02044	486.8	265
NCU02046	2.9	18.2
NCU02048	13	8.5
NCU02049	16.1	32.1
NCU02051	3.8	7.4
NCU02052	14.3	10.6
NCU02053	1.7	1.7
NCU02054	15.7	22.2
NCU02055	51.1	92.4
NCU02056	18.5	20
NCU02057	11.4	24.9
NCU02058	16.7	13.2
NCU02059	18.3	132.6
NCU02060	3.3	11.9
NCU02061	0.8	64.9
NCU02062	0	0.2
NCU02063	25.7	24.5
NCU02064	142.4	97.1
NCU02065	6.7	9.7
NCU02066	33.3	39.5
NCU02067	6.7	10.9
NCU02068	10.9	18.8
NCU02070	11.8	17.7
NCU02071	1.9	3.3
NCU02073	3.2	2.1
NCU02074	94.7	135.4
NCU02075	2111.4	1423.8
NCU02076	253.8	237.9
NCU02077	0.1	0.2
NCU02078	27	25.1
NCU02079	50.8	49.2
NCU02080	10.4	24.3
NCU02081	0	0
NCU02082	23.5	19
NCU02083	7	4.2
NCU02084	32.2	36.8
NCU02085	0.4	0.2
NCU02086	107.3	73.7
NCU02087	0	0
NCU02088	0	0.5
NCU02089	9.1	6.8
NCU02090	175.5	117.9
NCU02091	4.2	3.8
NCU02092	7.5	18
NCU02094	30.9	30.8
NCU02095	18.6	21.4
NCU02096	16.8	37.6
NCU02097	8.4	16.3
NCU02098	40.3	112.5
NCU02099	133.7	164.4
NCU02100	26	8.5
NCU02101	1.7	1.4
NCU02103	129.7	88.4
NCU02104	14.9	18
NCU02105	14.2	32.3
NCU02106	4	24.3
NCU02107	19.3	16.3
NCU02108	34.3	57.7
NCU02109	248.8	221.3
NCU02110	47.4	90.2
NCU02111	77.5	77.5
NCU02112	8.4	4.9
NCU02113	119.8	64.1
NCU02114	34.6	34.8
NCU02115	20.1	8.1
NCU02116	16.5	58.5
NCU02117	59.7	79.1
NCU02118	3.9	6.5
NCU02119	4	5.4
NCU02120	7.4	10
NCU02121	15.9	18.7
NCU02122	18.5	12
NCU02123	9.8	9.2
NCU02124	363	194.9
NCU02125	0.2	0
NCU02126	13	10.4
NCU02127	10	11.9
NCU02128	10.3	7.1
NCU02129	0	0
NCU02130	2.7	2.3
NCU02131	21.7	22.3
NCU02132	1.3	2.7
NCU02133	1655.2	1235
NCU02134	250.3	246.9
NCU02136	3094.7	2242.1
NCU02137	5.7	5.1
NCU02138	110.2	26.4
NCU02139	42.9	103.7
NCU02142	7.3	8.8
NCU02143	0	0
NCU02144	0	0
NCU02145	0	0
NCU02146	0.1	0
NCU02147	17.6	25.2
NCU02148	49.5	31.9
NCU02149	44.7	32.8
NCU02150	2.9	2.3
NCU02151	30.3	23.6
NCU02152	61.3	57.2
NCU02153	22.4	48.1
NCU02155	4.3	4.2
NCU02156	56.9	141.1
NCU02157	25.1	82.1
NCU02158	3.2	4.1
NCU02159	19.3	38.4
NCU02160	248.1	210.2
NCU02161	13.3	19.9
NCU02162	38.1	44.3
NCU02163	0	2.9
NCU02164	82.8	239.4
NCU02165	1.3	1.8
NCU02167	25.6	21.7
NCU02168	6.2	7.7
NCU02169	25.1	19.6
NCU02170	0.4	1.1
NCU02171	0.4	0.5
NCU02172	10.8	9
NCU02173	4.3	7.3
NCU02174	2.7	0.8
NCU02175	36	18.2
NCU02176	8.5	17.1
NCU02177	32.9	25.5
NCU02178	0.1	0
NCU02179	11.7	7.4
NCU02181	1478.8	1208.8
NCU02182	12.2	11.7
NCU02183	0	0
NCU02184	43.9	374.1
NCU02187	115.7	101.7
NCU02188	0	0.5
NCU02189	0.2	0
NCU02190	3.9	12.6
NCU02191	142.6	42.5
NCU02192	0.3	0
NCU02193	7246.2	17229.7
NCU02194	1	1.4
NCU02195	0.5	3.1
NCU02196	1.4	12.2
NCU02197	0	0.4
NCU02198	0	0.1
NCU02199	0	0.2
NCU02200	35.9	58.6
NCU02201	0.3	0.1
NCU02202	30.8	24.2
NCU02203	59	46.9
NCU02204	30.6	48.6
NCU02205	0	0
NCU02206	0	0
NCU02207	340	257.7
NCU02208	399.1	320.7
NCU02209	993.6	684.1
NCU02211	26.3	24.8
NCU02212	0.8	2.9
NCU02213	0.9	1
NCU02214	2.1	2.1
NCU02215	0.1	0.3
NCU02216	10	4
NCU02217	20	26.6
NCU02218	35.7	25.4
NCU02219	84.8	71.8
NCU02220	7.5	11.8
NCU02221	5.6	17.6
NCU02222	3	0.6
NCU02223	43	37.1
NCU02224	263.6	248.7
NCU02225	18.6	10.4
NCU02226	42	31.8
NCU02227	106.8	84.6
NCU02228	20.4	36.1
NCU02229	32.1	46.2
NCU02230	18.4	12.3
NCU02231	27.2	27.6
NCU02232	24.6	20
NCU02233	21.1	15.6
NCU02234	17.9	20.2
NCU02235	32.7	38.3
NCU02236	49.1	35.6
NCU02238	0	0.4
NCU02239	0.1	0.4
NCU02240	0	2.2
NCU02241	5.2	5.3
NCU02242	1.9	1
NCU02243	0.7	0.4
NCU02244	48.2	57.9
NCU02245	7.1	11.4
NCU02246	3.2	46.7
NCU02247	8.3	6.6
NCU02248	6.9	4.4
NCU02249	11.2	9.8
NCU02250	3861.8	2327.1
NCU02251	0	0
NCU02252	2425.4	2751.6
NCU02253	10.5	42.2
NCU02254	8.2	10.6
NCU02255	10.7	7.7
NCU02256	33	26.3
NCU02257	8.5	9.9
NCU02258	0.4	0.3
NCU02259	6.2	6.8
NCU02260	293.5	229.2
NCU02261	77.3	121.7
NCU02262	10.9	22.8
NCU02263	305.2	381.2
NCU02264	45.8	62
NCU02265	29.9	38.8
NCU02267	52.4	43.8
NCU02268	18.7	16.4
NCU02269	67.6	107.6
NCU02270	19.2	15.6
NCU02271	11.1	10.5
NCU02272	23.8	19.3
NCU02273	708.6	531.5
NCU02274	1844	1056.9
NCU02275	0	0
NCU02276	13.9	15.1
NCU02277	25.6	22.7
NCU02278	27.7	34.3
NCU02280	249.9	197.8
NCU02281	37.1	23
NCU02282	54	76.7
NCU02283	56.7	66.4
NCU02284	58.1	35
NCU02285	1.6	0.3
NCU02286	18.1	11
NCU02287	85.8	53.7
NCU02289	966.9	972.5
NCU02291	58.8	34.8
NCU02292	0.1	0.1
NCU02293	38.3	30.8
NCU02294	9.5	15.5
NCU02295	81.7	74.5
NCU02296	16.4	17.2
NCU02297	0	1.6
NCU02298	0	0
NCU02299	74.4	130.1
NCU02300	0	0
NCU02301	0	0.3
NCU02302	0.1	0
NCU02303	3.7	2.1
NCU02304	23	36.4
NCU02305	62.9	39.4
NCU02306	0	0
NCU02307	9.3	26.7
NCU02308	0	0
NCU02309	0	0
NCU02310	19.6	22
NCU02311	0	0
NCU02314	0	0.1
NCU02315	19.9	11
NCU02316	24.5	25
NCU02317	4.8	1
NCU02318	26.9	27.9
NCU02319	177.6	136
NCU02320	0	0.2
NCU02321	1.8	1.3
NCU02322	52.5	12.4
NCU02323	0	0
NCU02324	0	0
NCU02325	326.6	169.9
NCU02326	0.2	0.1
NCU02327	1.5	0.1
NCU02328	12.5	6.1
NCU02329	3.7	13.8
NCU02331	0	0.4
NCU02333	277.8	143.6
NCU02334	30	32.9
NCU02335	17.1	15.5
NCU02336	49.1	30.3
NCU02337	7	2.2
NCU02338	0.5	1.5
NCU02339	0	0.2
NCU02340	0	0
NCU02341	0	0
NCU02342	10.7	7.9
NCU02343	7.2	0.5
NCU02344	10.3	15.1
NCU02345	9.5	7.1
NCU02346	0	0.3
NCU02347	14.8	14.4
NCU02348	6.7	4.2
NCU02349	48.9	38.8
NCU02350	0	0
NCU02351	60	54.8
NCU02352	4	6.4
NCU02353	32.3	61
NCU02354	23.1	27.5
NCU02355	14.3	12.4
NCU02356	47	53.6
NCU02357	254	158.8
NCU02358	56.4	34.6
NCU02359	12.1	14.3
NCU02360	78.1	37.1
NCU02361	12.6	40
NCU02362	10.8	9.3
NCU02363	0.8	5.2
NCU02364	125.7	110.4
NCU02365	0	0.4
NCU02366	907.9	590.5
NCU02367	28.7	27.5
NCU02368	38.9	40.6
NCU02369	42.2	26.4
NCU02370	17.5	41.8
NCU02371	35.9	33.9
NCU02372	44	71
NCU02373	437.3	252.6
NCU02374	210.5	266
NCU02375	18.6	12.4
NCU02376	14.8	26.2
NCU02377	0	0
NCU02378	35.9	52.5
NCU02379	17.7	12
NCU02380	260.4	168.1
NCU02381	88.9	53.6
NCU02382	15.1	10.3
