Id	WT30_a	WT30_b	WT30_c	upf1E30_a	upf1E30_b	upf1E30_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.upf1E30_a	norm.upf1E30_b	norm.upf1E30_c	baseMean	WT	upf1E30	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNH00040	2126	1217	2129	5417	5904	3373	1842	1887	1664	4198	6063	4016	3278.27	1798	4759	2.649	1.405	4.65686976055756e-22	6.62354780535955e-21	0.0299	0.0087	0.0149	0.0149	TRUE	0.6994
CNH00060	1385	660	1566	2276	1390	1384	1200	1023	1224	1764	1427	1648	1381.05	1149	1613	1.401	0.487	5.60375912239141e-05	0.000184234699718305	0.0091	0.0098	0.0098	0.0098	TRUE	0.1226
CNH00070	846	400	788	1013	721	586	733	620	616	785	740	698	698.7	656	741	1.129	0.175	0.158909412637853	0.228669471768062	0.0054	0.0118	0.0096	0.0096	TRUE	0.1267
CNH00075	1417	596	1472	939	653	472	1228	924	1151	728	671	562	877.09	1101	654	0.593	-0.753	9.24497444223108e-08	4.68110699794558e-07	0.0168	0.011	0.0131	0.0131	TRUE	0.2253
CNH00080	2112	1070	1980	2463	1776	1556	1830	1659	1548	1909	1824	1853	1770.25	1679	1862	1.109	0.149	0.148891858065104	0.216938939383493	0.0034	0.0094	0.0071	0.0071	TRUE	0.0771
CNH00085	146	98	213	198	203	156	126	152	167	153	208	186	165.43	148	182	1.228	0.296	0.135951793207662	0.200492671582057	0.0171	0.0243	0.0221	0.0221	TRUE	0.2283
CNH00090	2802	2100	3542	3459	3244	2432	2428	3255	2769	2681	3331	2896	2893.23	2817	2969	1.055	0.077	0.545849554046579	0.626591427846558	0.0165	0.0088	0.0114	0.0114	TRUE	0.2207
CNH00100	2291	1294	2598	2678	2319	1827	1985	2006	2031	2075	2381	2175	2108.97	2007	2210	1.101	0.139	0.156986752096263	0.226402402253882	0.0022	0.0092	0.0064	0.0064	TRUE	0.0554
CNH00110	189	88	217	264	178	151	164	136	170	205	183	180	172.83	157	189	1.201	0.264	0.144307071211808	0.210907887098536	0.0021	0.0236	0.0176	0.0176	TRUE	0.1087
CNH00120	8242	4969	9130	6817	4136	4548	7141	7703	7137	5283	4247	5415	6154.34	7327	4982	0.68	-0.556	5.23742723044404e-07	2.39900951509213e-06	0.009	0.0083	0.0087	0.0087	TRUE	0.2025
CNH00130	1446	926	1784	1666	1462	1091	1253	1435	1395	1291	1501	1299	1362.38	1361	1364	1.003	0.004	0.97063946558597	0.977571551117431	0.0055	0.0099	0.0083	0.0083	TRUE	0.0934
CNH00140	10365	5502	11329	12971	11202	7994	8980	8529	8856	10052	11503	9518	9573.13	8788	10358	1.178	0.237	0.016685983555765	0.0318349738076022	0.0051	0.0082	0.007	0.007	TRUE	0.1142
