# loTE_cc.txt
# Genes with low translation efficiency
# In both H99 and JEC21:
#   - in top 50% by RNA abundance
#   - TE < 0.5 (2X) in both H99 and JEC21
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# RNA.xx: mean RNA abundance in TPM of annotated ORF, strain xx
# RPF.xx: mean ribosome occupancy in TPM of annotated ORF, strain xx
# TE.xx: translation efficiency, RPF.xx/RNA.xx, strain xx
#
# Edward Wallace, June 2018
H99	JEC21	RNA.H99	RPF.H99	TE.H99	RNA.JEC21	RPF.JEC21	TE.JEC21
CNAG_06597	CNF04210	55.04	13.945	0.253	96.722	14.116	0.146
CNAG_05836	CNF01430	35.971	9.629	0.268	27.23	3.752	0.138
CNAG_03446	CNG01410	31.467	6.981	0.222	28.078	5.219	0.186
CNAG_03269	CNG03080	31.522	8.321	0.264	59.855	8.671	0.145
CNAG_03424	CNG01615	118.602	24.589	0.207	170.466	35.305	0.207
CNAG_03038	CNC00470	327.95	73.53	0.224	271.204	52.345	0.193
CNAG_03686	CNB01840	28.284	9.593	0.339	196.008	15.614	0.08
CNAG_01571	CNC00845	58.921	15.231	0.258	31.762	5.094	0.16
CNAG_06167	CNM01680	103.434	24.22	0.234	113.583	21.063	0.185
CNAG_04281	CNI02680	140.396	36.443	0.26	179.306	29.879	0.167
CNAG_02289	CNE02560	27.279	7.745	0.284	54.238	7.861	0.145
CNAG_01622	CNC01360	45.845	12.065	0.263	61.738	10.333	0.167
CNAG_02435	CNE01220	86.162	20.087	0.233	36.044	7.348	0.204
CNAG_04289	CNI02600	64.541	17.804	0.276	129.721	21.518	0.166
CNAG_06341	CNN00710	120.354	32.71	0.272	168.063	28.648	0.17
CNAG_05845	CNF01280	421.286	106.613	0.253	441.495	85.701	0.194
CNAG_05677	CNF02970	27.348	8.388	0.307	65.269	9.316	0.143
CNAG_02504	CNE00575	31.428	9.546	0.304	43.961	6.496	0.148
CNAG_03869	CNB03580	30.623	5.326	0.174	28.654	8.307	0.29
CNAG_04512	CNI00430	37.983	9.116	0.24	59.212	13.268	0.224
CNAG_03795	CNB02890	36.888	9.46	0.256	36.609	7.815	0.213
CNAG_01467	CNC07130	33.136	12.002	0.362	65.717	7.476	0.114
CNAG_03698	CNB01960	36.397	9.979	0.274	32.81	6.677	0.203
CNAG_03835	CNB03235	109.378	31.28	0.286	182.769	35.289	0.193
CNAG_05931	CNF00440	31.929	11.065	0.347	63.026	8.656	0.137
CNAG_04303	CNI02470	148.48	30.549	0.206	114.23	32.402	0.284
CNAG_03374	CNG02090	30.46	11.571	0.38	115.824	12.767	0.11
CNAG_03258	CNG03180	29.059	10.324	0.355	90.47	12.253	0.135
CNAG_07752	CNG00060	157.893	65.874	0.417	35.644	3.022	0.085
CNAG_05704	CNF02700	27.803	8.184	0.294	44.694	9.349	0.209
CNAG_01736	CNC02405	269.757	79.262	0.294	450.277	94.667	0.21
