# hiTrans_cc.txt
# Genes with high translation efficiency
# In both H99 and JEC21:
#   - in top 5% by ribosome occupancy in TPM
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# RNA.xx: mean RNA abundance in TPM of annotated ORF, strain xx
# RPF.xx: mean ribosome occupancy in TPM of annotated ORF, strain xx
# TE.xx: translation efficiency, RPF.xx/RNA.xx, strain xx
#
# Edward Wallace, June 2018
H99	JEC21	RNA.H99	RPF.H99	TE.H99	RNA.JEC21	RPF.JEC21	TE.JEC21
CNAG_01991	CNK03240	816.952	1809.392	2.215	590.363	1392.942	2.359
CNAG_06407	CNN01330	868.607	1911.998	2.201	1096.802	1230.618	1.122
CNAG_05424	CNH00910	542.949	1133.093	2.087	823.217	1956.731	2.377
CNAG_03225	CNG03490	643.187	1383.325	2.151	502.416	1693.047	3.37
CNAG_00149	CNA01370	824.389	1137.61	1.38	2713.322	1911.672	0.705
CNAG_06767	CNB00330	1162.353	1554.169	1.337	734.466	1485.497	2.023
CNAG_02485	CNE00750	724.906	1343.208	1.853	1322.708	1659.783	1.255
CNAG_00806	CNA07830	1010.906	1431.857	1.416	928.049	1550.452	1.671
CNAG_01750	CNC02520	256.688	1309.244	5.101	312.21	1658.925	5.313
CNAG_03012	CNC00730	1290.274	1355.711	1.051	1414.433	1567.044	1.108
CNAG_02762	CNC03840	1597.726	1506.448	0.943	746.005	1404.345	1.882
CNAG_01586	CNC00990	1223.542	1267.635	1.036	1047.817	1634.794	1.56
CNAG_00457	CNA04370	779.654	1150.386	1.476	685.209	1751.948	2.557
CNAG_03891	CNB03790	810.455	1150.007	1.419	828.489	1728.745	2.087
CNAG_02315	CNE02310	1341.104	1481.258	1.105	668.401	1384.926	2.072
CNAG_05132	CNL04890	719.087	1401.426	1.949	582.767	1419.537	2.436
CNAG_04985	CNL06300	805.6	1235.702	1.534	1008.918	1559.783	1.546
CNAG_01323	CND04430	1735.426	1465.758	0.845	960.148	1229.419	1.28
CNAG_05633	CNH02740	1311.028	1610.17	1.228	1165.08	1074.055	0.922
CNAG_00061	CNA00510	475.58	995.491	2.093	343.983	1664.252	4.838
CNAG_05696	CNF02760	798.626	1437.624	1.8	1178.012	1221.749	1.037
CNAG_02801	CNC04200	1832.202	1452.213	0.793	1454.395	1199.122	0.824
CNAG_07558	CNK01080	1008.676	1430.151	1.418	1368.565	1219.102	0.891
CNAG_01577	CNC00920	904.168	1681.201	1.859	493.556	957.901	1.941
CNAG_00534	CNA05160	2325.956	1499.519	0.645	1723.347	1122.158	0.651
CNAG_01204	CND03280	665.153	1425.888	2.144	826.747	1182.615	1.43
CNAG_02938	CNC05480	1105.16	1364.815	1.235	696.118	1188.491	1.707
CNAG_02545	CNE00210	1179.652	1032.802	0.876	491.091	1510.396	3.076
CNAG_03482	CNG01100	1301.423	1382.323	1.062	590.519	1158.141	1.961
CNAG_00886	CND00240	428.828	940.533	2.193	405.702	1536.876	3.788
CNAG_07445	CND00940	486.59	1141.535	2.346	251.027	1304.357	5.196
CNAG_02991	CNC05990	973.677	1348.215	1.385	382.216	1094.562	2.864
CNAG_00418	CNA04060	292.421	853.255	2.918	352.518	1568.484	4.449
CNAG_03298	CNG02790	1209.583	1205.347	0.996	1160.297	1155.468	0.996
CNAG_00990	CND01180	723.244	1140.772	1.577	621.487	1190.158	1.915
CNAG_02916	CNC05260	795.324	1147.16	1.442	1360.772	1170.941	0.86
CNAG_06140	CNM01420	1543.335	1136.504	0.736	818.691	1171.335	1.431
CNAG_03358	CNG02220	874.392	1138.927	1.303	438.346	1129.848	2.578
CNAG_06400	CNN01260	368.243	798.178	2.168	317.671	1391.391	4.38
CNAG_04601	CNJ00410	393.988	857.084	2.175	344.954	1309.572	3.796
