# ribosum_JEC21.txt
# Summary of ribosome profiling data, C. neoformans serotype D JEC21
# Mean of 2 quasi-replicates (WT JEC21 and AGO1 deletion mutant)
# Reads were aligned with hisat2 to transcriptome
# Then quantified only for 5' ends mapping to annotated ORFs.
# Note this excludes UTRs and excludes initiating ribosomes.
#
# Gene: JEC21 systematic gene name
# RNA: RNA abundance in mean TPM
# RPF: Ribosome occupancy, Ribosome protected fragments in mean TPM
# TE: Translation Efficiency, RPF / RNA
#
# Edward Wallace, June 2018
Gene	RNA	RPF	TE
CNA02430	2.251	0.571	0.254
CNA02440	116.585	165.276	1.418
CNA02450	133.672	319.945	2.394
CNA02460	26.62	4.582	0.172
CNA02470	5.958	2.894	0.486
CNA02480	166.703	100.195	0.601
CNA02490	193.048	321.582	1.666
CNA02500	0	0	NaN
CNA02510	12.672	0.109	0.009
CNA02520	479.197	1074.539	2.242
CNA02530	112.249	5.085	0.045
CNA02535	42.115	15.053	0.357
CNA02540	58.78	31.643	0.538
CNA02550	272.011	166.016	0.61
CNA02555	62.788	28.481	0.454
CNA02560	5.17	6.203	1.2
CNA02570	83.316	214.153	2.57
CNA02580	25.888	26.37	1.019
CNA02590	1988.079	750.249	0.377
CNA02600	109.132	23.038	0.211
CNA02610	6.419	8.036	1.252
CNA02620	15.681	20.707	1.32
CNA02625	12.531	6.993	0.558
CNA02630	29.681	39.121	1.318
CNA02640	16.179	14.889	0.92
CNA02645	22.975	10.374	0.452
CNA02650	47.045	29.321	0.623
CNA02660	299.032	223.656	0.748
CNA02670	110.486	423.924	3.837
CNA02680	36.16	22.335	0.618
CNA02690	219.297	88.892	0.405
CNA02700	145.004	300.576	2.073
CNA02710	9.873	3.749	0.38
CNA02720	4.46	0.299	0.067
CNA02730	10.378	4.854	0.468
CNA02740	70.828	124.373	1.756
CNA02750	218.628	259.346	1.186
CNA02760	245.574	64.521	0.263
CNA02770	12.748	13.38	1.05
CNA02780	20.825	36.327	1.744
CNA02790	21.923	5.282	0.241
CNA02800	117.955	169.862	1.44
CNA02810	98.77	119.385	1.209
CNA02820	41.206	42.974	1.043
CNA02830	45.287	44.085	0.973
CNA02840	9.392	9.397	1.001
CNA02845	28.689	16.663	0.581
CNA02850	10.25	8.688	0.848
CNA02860	22.543	14.792	0.656
CNA02870	20.728	86.299	4.163
CNA02875	11.72	1.858	0.159
CNA02880	42.024	3.41	0.081
CNA02885	128.35	85.094	0.663
CNA02890	359.263	582.791	1.622
CNA02895	13.207	0.386	0.029
CNA02900	41.538	45.411	1.093
CNA02905	663.275	672.727	1.014
CNA02910	10.5	15.68	1.493
CNA02920	23.343	2.345	0.1
CNA02930	12.18	8.963	0.736
CNA02940	69.686	147.039	2.11
CNA02950	102.709	36.533	0.356
CNA02960	8.192	1.994	0.243
CNA02970	13.949	3.64	0.261
CNA02980	0.609	1.02	1.674
CNA02990	1.109	0.622	0.561
CNA03000	322.687	250.163	0.775
CNA03010	19.201	0.098	0.005
CNA03020	42.247	29.511	0.699
CNA03030	238.582	174.862	0.733
CNA03040	146.672	156.879	1.07
CNA03050	10.056	10.326	1.027
CNA03060	1.956	0.465	0.238
CNA03065	38.548	22.075	0.573
CNA03070	11.394	2.486	0.218
CNA03090	161.429	215.131	1.333
CNA03093	0.592	0.179	0.302
CNA03095	23.135	37.692	1.629
CNA03100	5.137	3.501	0.681
CNA03110	197.039	446.134	2.264
CNA03120	24.378	10.533	0.432
CNA03130	25.396	10.227	0.403
CNA03140	6.593	1.591	0.241
CNA03150	25.754	4.889	0.19
CNA03160	1135.824	4475.154	3.94
CNA03170	22.047	27.621	1.253
CNA03180	8.023	21.738	2.709
CNA03190	278.539	278.724	1.001
CNA03200	18.033	37.399	2.074
CNA03210	182.533	185.866	1.018
