# ribosum_H99.txt
# Summary of ribosome profiling data, C. neoformans serotype A H99
# Mean of 4 quasi-replicates (2x WT H99 and 1x AGO1 deletion, 1x GWO1 deletion)
# Reads were aligned with hisat2 to transcriptome
# Then quantified only for 5' ends mapping to annotated ORFs.
# Note this excludes UTRs and excludes initiating ribosomes.
#
# Gene: H99 systematic gene name
# RNA: RNA abundance in mean TPM
# RPF: Ribosome occupancy, Ribosome protected fragments in mean TPM
# TE: Translation Efficiency, RPF / RNA
#
# Edward Wallace, June 2018
Gene	RNA	RPF	TE
CNAG_01358	2.172	0.332	0.153
CNAG_01359	371.135	105.668	0.285
CNAG_01360	14.705	41.135	2.797
CNAG_01361	148.481	447.069	3.011
CNAG_01362	53.087	39.299	0.74
CNAG_01363	55.812	57.589	1.032
CNAG_01364	295.9	223.961	0.757
CNAG_01365	15.218	25.398	1.669
CNAG_01367	5.318	0.4	0.075
CNAG_01368	2.895	0.244	0.084
CNAG_01369	7.652	7.749	1.013
CNAG_01370	3.434	0.105	0.03
CNAG_01371	39.522	22.442	0.568
CNAG_01372	16.588	12.73	0.767
CNAG_01373	85.088	99.681	1.172
CNAG_01375	17.235	76.276	4.426
CNAG_01376	60.555	53.563	0.885
CNAG_01377	27.224	12.87	0.473
CNAG_01378	64.516	68.48	1.061
CNAG_01379	286.596	136.565	0.477
CNAG_01380	30.386	15.134	0.498
CNAG_01381	56.255	60.441	1.074
CNAG_01382	24.254	12.827	0.529
CNAG_01384	0.727	0.391	0.538
CNAG_01385	19.882	7.125	0.358
CNAG_01386	9.835	3.096	0.315
CNAG_01387	93.309	62.782	0.673
CNAG_01388	15.839	11.547	0.729
CNAG_01389	10.561	19.478	1.844
CNAG_01390	488.375	501.227	1.026
CNAG_01391	64.696	121.528	1.878
CNAG_01392	24.319	21.953	0.903
CNAG_01395	109.608	242.236	2.21
CNAG_01396	140.507	88.053	0.627
CNAG_01397	317.947	406.604	1.279
CNAG_01398	38.72	59.999	1.55
CNAG_01399	42.034	47.2	1.123
CNAG_01400	326.41	382.95	1.173
CNAG_01401	3.223	0.045	0.014
CNAG_01402	132.764	110.057	0.829
CNAG_01403	163.308	93.261	0.571
CNAG_01404	173.023	402.695	2.327
CNAG_01405	21.476	14.721	0.685
CNAG_01406	17.902	2.53	0.141
CNAG_01408	9.91	8.879	0.896
CNAG_01411	0.69	0.166	0.24
CNAG_01412	18.802	10.483	0.558
CNAG_01413	131.149	332.625	2.536
CNAG_01414	87.686	152.664	1.741
CNAG_01415	15.412	11.045	0.717
CNAG_01416	74.454	103.274	1.387
CNAG_01417	13.927	14.404	1.034
CNAG_01418	17.258	8.736	0.506
CNAG_01419	17.633	10.062	0.571
CNAG_01420	17.158	11.901	0.694
CNAG_01421	27.778	18.959	0.683
CNAG_01422	36.394	12.367	0.34
CNAG_01423	36.674	42.335	1.154
CNAG_01424	5.208	2.194	0.421
CNAG_01425	9.126	10.788	1.182
CNAG_01426	104.325	71.807	0.688
CNAG_01428	2477.497	5476.329	2.21
CNAG_01429	38.005	15.924	0.419
CNAG_01430	20.633	23.801	1.154
CNAG_01431	24.012	10.285	0.428
CNAG_01432	113.791	68.727	0.604
CNAG_01435	189.842	401.996	2.118
CNAG_01436	65.88	34.453	0.523
CNAG_01437	160.254	117.599	0.734
CNAG_01438	16.988	39.858	2.346
CNAG_01439	54.522	48.467	0.889
CNAG_01440	9.531	10.483	1.1
CNAG_01441	13.563	15.285	1.127
CNAG_01442	54.244	74.689	1.377
CNAG_01443	7.06	6.493	0.92
CNAG_01444	136.786	153.699	1.124
CNAG_01445	4.681	3.849	0.822
CNAG_01446	1061.158	781.947	0.737
CNAG_01448	10.384	9.362	0.902
CNAG_01451	353.546	484.935	1.372
CNAG_01452	11.613	3.487	0.3
CNAG_01454	27.782	11.943	0.43
CNAG_01455	12669.934	6547.536	0.517
CNAG_01456	0.934	0.197	0.211
CNAG_01461	13.226	2.404	0.182
CNAG_01463	47.938	17.292	0.361
CNAG_01464	51.863	63.084	1.216
CNAG_01465	10.253	3.687	0.36
CNAG_01466	15.498	3.88	0.25
CNAG_01467	33.156	12.004	0.362
CNAG_01468	10.949	4.594	0.42
CNAG_01469	39.25	36.496	0.93
CNAG_01470	449.937	482.302	1.072
CNAG_01471	58.49	27.836	0.476
CNAG_01472	14.308	6.542	0.457
CNAG_01473	0.383	0.172	0.449
CNAG_01474	2.937	0.136	0.046
CNAG_01475	152.443	105.586	0.693
CNAG_01476	12.014	10.783	0.898
CNAG_01477	25.863	58.17	2.249
CNAG_01478	8.923	9.732	1.091
CNAG_01479	55.294	53.981	0.976
CNAG_01480	4306.581	4058.411	0.942
CNAG_01481	4.539	0.433	0.096
CNAG_01482	50.39	39.874	0.791
CNAG_01483	16	6.34	0.396
CNAG_01485	64.106	42.383	0.661
CNAG_01486	6745.248	4701.617	0.697
CNAG_01487	0.798	0.107	0.134
CNAG_01489	16.901	9.391	0.556
CNAG_01490	6.828	0.876	0.128
CNAG_01491	112.769	82.272	0.73
CNAG_01492	364.007	337.106	0.926
CNAG_01493	23.179	10.464	0.451
CNAG_01494	2.002	0.198	0.099
CNAG_01495	11.69	10.353	0.886
CNAG_01496	48.304	90.93	1.882
CNAG_01497	6.522	0.255	0.039
CNAG_01498	14.545	5.698	0.392
CNAG_01499	5.235	0.449	0.086
CNAG_01500	0.223	0.306	1.376
CNAG_01501	35.36	14.105	0.399
CNAG_01502	27.385	22.381	0.817
CNAG_01504	84.251	22.049	0.262
CNAG_01506	1.051	0.214	0.204
CNAG_01507	50.024	42.221	0.844
CNAG_01508	22.678	16.893	0.745
CNAG_01509	23.504	10.866	0.462
CNAG_01510	21.244	16.596	0.781
CNAG_01511	0.619	0.057	0.092
CNAG_01512	3.369	0.403	0.12
CNAG_01513	13.735	5.487	0.4
CNAG_01518	23.178	21.885	0.944
CNAG_01519	5.133	3.738	0.728
CNAG_01520	17.876	23.095	1.292
CNAG_01521	10.813	8.085	0.748
CNAG_01522	34.795	23.596	0.678
CNAG_01523	234.203	313.183	1.337
CNAG_01524	88.914	52.241	0.588
CNAG_01525	4.371	1.242	0.284
CNAG_01526	33.089	50.242	1.518
CNAG_01527	0.255	0.202	0.79
CNAG_01528	66.423	77.676	1.169
CNAG_01529	26.929	16.891	0.627
CNAG_01530	15.193	11.284	0.743
CNAG_01531	9.237	6.272	0.679
CNAG_01532	11.73	8.771	0.748
CNAG_01533	17.431	11.078	0.636
CNAG_01534	22.566	4.447	0.197
CNAG_01535	54.105	47.201	0.872
CNAG_01536	9.924	9.643	0.972
CNAG_01537	70.786	128.807	1.82
CNAG_01538	0.818	0.093	0.113
CNAG_01539	197.107	116.857	0.593
CNAG_01540	5.046	10.197	2.021
CNAG_01541	4.075	1.954	0.479
CNAG_01542	5.299	3.573	0.674
CNAG_01543	18.884	13.952	0.739
CNAG_01544	130.779	143.376	1.096
CNAG_01545	8.993	2.941	0.327
CNAG_01546	23.444	16.755	0.715
CNAG_01547	44.734	71.658	1.602
CNAG_01548	274.808	255.769	0.931
CNAG_01549	106.092	77.777	0.733
CNAG_01550	75.257	47.422	0.63
CNAG_01551	16.208	11.911	0.735
CNAG_01552	73.873	86.636	1.173
CNAG_01553	40.989	101.692	2.481
CNAG_01554	33.157	30.734	0.927
CNAG_01555	14.994	6.078	0.405
CNAG_01556	40.116	32.09	0.8
CNAG_01557	1024.482	1047.122	1.022
CNAG_01558	399.735	870.346	2.177
CNAG_01559	22.002	18.59	0.845
CNAG_01560	0.925	0.374	0.404
CNAG_01561	26.818	20.172	0.752
CNAG_01562	95.757	53.843	0.562
CNAG_01563	52.134	28.314	0.543
CNAG_01564	53.432	123.078	2.303
CNAG_01565	32.743	29.842	0.911
CNAG_01566	11.905	10.36	0.87
CNAG_01567	3.438	2.626	0.764
CNAG_01568	168.849	216.434	1.282
CNAG_01569	55.184	20.806	0.377
CNAG_01570	0.252	0.081	0.32
CNAG_01571	58.883	15.124	0.257
CNAG_01572	12.523	13.852	1.106
CNAG_01573	26.313	16.734	0.636
CNAG_01574	17.168	24.15	1.407
CNAG_01575	26.918	18.653	0.693
CNAG_01576	46.42	115.405	2.486
CNAG_01577	903.102	1676.964	1.857
CNAG_01578	136.273	161.389	1.184
CNAG_01579	7.066	4.454	0.63
CNAG_01580	15.93	3.058	0.192
CNAG_01581	11.368	2.272	0.2
CNAG_01582	10.754	0.073	0.007
CNAG_01583	116.959	179.156	1.532
CNAG_01584	5.112	4.593	0.898
CNAG_01585	14.734	8.753	0.594
CNAG_01586	1222.271	1268.826	1.038
CNAG_01587	90.349	55.266	0.612
CNAG_01588	742.371	946.786	1.275
CNAG_01590	154.019	224.248	1.456
CNAG_01591	12.01	13.686	1.14
CNAG_01592	8.954	6.899	0.77
CNAG_01593	66.948	74.95	1.12
CNAG_01594	26.954	31.762	1.178
CNAG_01595	25.307	10.11	0.4
CNAG_01596	72.072	60.306	0.837
CNAG_01597	71.524	61.374	0.858
CNAG_01598	339.2	294.03	0.867
CNAG_01599	50.84	159.602	3.139
CNAG_01600	58.031	97.845	1.686
CNAG_01601	5.208	2.724	0.523
CNAG_01602	11.714	3.204	0.274
CNAG_01603	52.618	3.381	0.064
CNAG_01604	8.091	6.418	0.793
CNAG_01605	1.684	0.424	0.252
CNAG_01606	0	0.189	Inf
CNAG_01607	215.318	241.207	1.12
CNAG_01608	16.981	27.897	1.643
CNAG_01609	38.462	59.453	1.546
CNAG_01610	14.992	14.487	0.966
CNAG_01611	4.75	0.112	0.024
CNAG_01612	0.717	0.215	0.3
CNAG_01613	6.355	3.678	0.579
CNAG_01614	38.589	50.492	1.308
CNAG_01615	40.16	42.348	1.054
CNAG_01616	33.432	15.59	0.466
CNAG_01619	10.523	2.193	0.208
CNAG_01620	26.209	18.995	0.725
CNAG_01621	700.636	412.511	0.589
CNAG_01622	45.76	12.025	0.263
CNAG_01623	191.283	84.161	0.44
CNAG_01624	34.468	5.069	0.147
CNAG_01625	28.501	17.416	0.611
CNAG_01626	30.98	16.046	0.518
CNAG_01627	9.935	17.311	1.742
CNAG_01628	3528.699	4835.933	1.37
CNAG_01629	158.826	157.836	0.994
CNAG_01630	21.68	25.95	1.197
CNAG_01631	20.554	20.67	1.006
CNAG_01632	17.754	9.768	0.55
CNAG_01633	12.119	5.728	0.473
CNAG_01634	47.52	65.937	1.388
CNAG_01635	10.323	4.01	0.388
CNAG_01636	143.138	128.078	0.895
CNAG_01637	103.892	58.568	0.564
CNAG_01638	108.137	66.961	0.619
CNAG_01639	90.612	109.698	1.211
CNAG_01640	9.97	1.16	0.116
CNAG_01641	68.285	66.677	0.976
CNAG_01642	15.979	7.477	0.468
CNAG_01643	144.364	158.825	1.1
CNAG_01644	99.102	89.61	0.904
CNAG_01645	2.562	0.379	0.148
CNAG_01646	28.605	19.042	0.666
CNAG_01647	188.997	56.298	0.298
CNAG_01648	3213.897	2008.684	0.625
CNAG_01649	15.98	10.009	0.626
CNAG_01650	76.993	119.797	1.556
CNAG_01651	2.171	0.192	0.088
CNAG_01652	16.664	6.366	0.382
CNAG_01653	0.921	0.773	0.839
CNAG_01654	14.346	8.666	0.604
CNAG_01655	44.186	102.126	2.311
CNAG_01656	15.134	12.262	0.81
CNAG_01657	182.437	390.444	2.14
CNAG_01658	11.101	3.979	0.358
CNAG_01659	18.841	13.765	0.731
CNAG_01660	48.586	50.344	1.036
CNAG_01663	25.339	9.802	0.387
CNAG_01664	60.445	123.745	2.047
CNAG_01665	31.712	21.192	0.668
CNAG_01666	320.415	325.66	1.016
CNAG_01667	44.492	47.827	1.075
CNAG_01668	1.383	0.37	0.267
